entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-12 08:45:00,2025-06-12 15:30:00,day,long,22320,22200,sl,11,-120,-6000,8.0,150.0,False,immediate_loss
2025-06-12 11:45:00,2025-06-12 19:30:00,day,long,22266,22146,sl,13,-120,-6000,1.0,131.0,False,immediate_loss
2025-06-12 12:45:00,2025-06-12 19:30:00,day,long,22256,22136,sl,11,-120,-6000,9.0,121.0,False,immediate_loss
2025-06-12 17:30:00,2025-06-13 08:45:00,night,long,22208,22088,sl,23,-120,-6000,141.0,311.0,False,false_breakout
2025-06-12 21:00:00,2025-06-13 08:45:00,night,long,22189,22069,sl,16,-120,-6000,160.0,292.0,False,normal_sl
2025-06-13 11:45:00,2025-06-16 08:45:00,day,long,22043,21923,sl,32,-120,-6000,103.0,175.0,False,normal_sl
2025-06-16 11:45:00,2025-06-16 21:30:00,day,long,21931,22171,tp,17,240,12000,245.0,3.0,True,win
2025-06-17 13:15:00,2025-06-17 15:00:00,day,long,22137,22017,sl,2,-120,-6000,34.0,424.0,False,false_breakout
2025-06-17 18:30:00,2025-06-18 15:00:00,night,long,21726,21966,tp,31,240,12000,261.0,60.0,True,win
2025-06-18 03:30:00,2025-06-18 10:45:00,night,long,21711,21951,tp,7,240,12000,248.0,39.0,True,win
2025-06-18 09:15:00,2025-06-19 09:15:00,day,long,21838,21718,sl,38,-120,-6000,149.0,133.0,False,normal_sl
2025-06-18 22:30:00,2025-06-19 09:15:00,night,long,21875,21755,sl,14,-120,-6000,43.0,170.0,False,false_breakout
2025-06-19 12:45:00,2025-06-19 15:00:00,day,long,21731,21611,sl,2,-120,-6000,4.0,123.0,False,immediate_loss
2025-06-19 15:00:00,2025-06-19 20:30:00,night,long,21680,21560,sl,11,-120,-6000,19.0,127.0,False,false_breakout
2025-06-19 18:00:00,2025-06-19 22:30:00,night,long,21628,21508,sl,9,-120,-6000,5.0,122.0,False,immediate_loss
2025-06-19 19:00:00,2025-06-19 23:30:00,night,long,21614,21494,sl,9,-120,-6000,1.0,146.0,False,immediate_loss
2025-06-19 21:30:00,2025-06-20 22:30:00,night,long,21581,21461,sl,40,-120,-6000,207.0,156.0,False,normal_sl
2025-06-20 01:30:00,2025-06-20 19:30:00,night,long,21526,21766,tp,26,240,12000,262.0,57.0,True,win
2025-06-20 10:45:00,2025-06-20 19:30:00,day,long,21537,21777,tp,15,240,12000,251.0,38.0,True,win
2025-06-21 02:30:00,2025-06-23 08:45:00,night,long,21481,21361,sl,5,-120,-6000,8.0,251.0,False,immediate_loss
2025-06-23 10:45:00,2025-06-24 01:30:00,day,long,21361,21601,tp,28,240,12000,241.0,29.0,True,win
