entry_time,exit_time,session,direction,entry_price,exit_price,exit_reason,hold_bars,pnl_pts,pnl_ntd,mfe_pts,mae_pts,win,fail_pattern
2025-06-09 09:45:00,2025-06-09 10:15:00,day,short,21650,21680,sl,1,-30,-1500,20,65.0,False,false_breakout
2025-06-13 09:15:00,2025-06-13 09:15:00,day,short,21934,21964,sl,0,-30,-1500,41,131.0,False,false_breakout
2025-06-14 03:30:00,2025-06-14 04:00:00,night,short,21990,22020,sl,1,-30,-1500,21,35.0,False,normal_sl
2025-06-17 10:45:00,2025-06-17 10:45:00,day,short,22092,22122,sl,0,-30,-1500,12,64.0,False,false_breakout
2025-06-18 20:30:00,2025-06-18 21:30:00,night,short,21835,21775,tp,2,60,3000,95,6.0,True,win
2025-06-19 01:30:00,2025-06-19 02:00:00,night,short,21830,21860,sl,1,-30,-1500,34,88.0,False,false_breakout
2025-06-19 03:00:00,2025-06-19 03:00:00,night,short,21802,21832,sl,0,-30,-1500,22,49.0,False,false_breakout
2025-06-20 23:00:00,2025-06-20 23:00:00,night,short,21435,21465,sl,0,-30,-1500,27,57.0,False,false_breakout
2025-06-23 18:30:00,2025-06-23 19:30:00,night,short,21441,21381,tp,2,60,3000,64,11.0,True,win
2025-06-27 10:15:00,2025-06-27 10:15:00,day,short,22073,22103,sl,0,-30,-1500,68,33.0,False,normal_sl
2025-06-30 11:45:00,2025-06-30 12:15:00,day,short,22103,22133,sl,1,-30,-1500,10,82.0,False,false_breakout
2025-06-30 16:30:00,2025-06-30 17:00:00,night,short,22121,22151,sl,1,-30,-1500,7,33.0,False,false_breakout
2025-06-30 18:00:00,2025-06-30 21:30:00,night,short,22106,22046,tp,7,60,3000,94,24.0,True,win
2025-07-02 20:30:00,2025-07-02 21:30:00,night,short,22315,22345,sl,2,-30,-1500,34,58.0,False,normal_sl
2025-07-04 09:45:00,2025-07-04 09:45:00,day,short,22580,22520,tp,0,60,3000,73,2.0,True,win
2025-07-07 23:30:00,2025-07-07 23:30:00,night,short,22339,22369,sl,0,-30,-1500,25,34.0,False,normal_sl
2025-07-22 04:30:00,2025-07-22 08:45:00,night,short,23243,23273,sl,1,-30,-1500,38,130.0,False,false_breakout
2025-07-22 11:15:00,2025-07-22 11:15:00,day,short,23139,23079,tp,0,60,3000,93,7.0,True,win
2025-07-25 12:45:00,2025-07-25 15:30:00,day,short,23253,23193,tp,3,60,3000,63,13.0,True,win
2025-07-28 19:00:00,2025-07-28 22:00:00,night,short,23320,23260,tp,6,60,3000,74,15.0,True,win
2025-07-29 10:15:00,2025-07-29 10:15:00,day,short,23172,23112,tp,0,60,3000,128,15.0,True,win
2025-07-29 23:30:00,2025-07-29 23:30:00,night,short,23157,23187,sl,0,-30,-1500,25,44.0,False,normal_sl
2025-07-31 03:00:00,2025-07-31 03:00:00,night,short,23266,23296,sl,0,-30,-1500,44,40.0,False,normal_sl
2025-07-31 23:00:00,2025-07-31 23:00:00,night,short,23421,23451,sl,0,-30,-1500,25,32.0,False,normal_sl
2025-08-05 23:00:00,2025-08-06 00:00:00,night,short,23415,23445,sl,2,-30,-1500,19,44.0,False,false_breakout
2025-08-11 09:15:00,2025-08-11 09:15:00,day,short,23862,23892,sl,0,-30,-1500,1,134.0,False,immediate_loss
2025-08-15 09:15:00,2025-08-15 09:15:00,day,short,24205,24235,sl,0,-30,-1500,8,62.0,False,false_breakout
2025-08-15 19:30:00,2025-08-15 21:30:00,night,short,24281,24221,tp,4,60,3000,102,8.0,True,win
2025-08-19 10:45:00,2025-08-19 11:45:00,day,short,24359,24389,sl,2,-30,-1500,15,33.0,False,false_breakout
2025-08-22 01:30:00,2025-08-22 01:30:00,night,short,23785,23815,sl,0,-30,-1500,5,60.0,False,false_breakout
2025-08-22 08:45:00,2025-08-22 08:45:00,day,short,23869,23899,sl,0,-30,-1500,90,113.0,False,normal_sl
2025-08-22 11:45:00,2025-08-22 11:45:00,day,short,23810,23750,tp,0,60,3000,73,1.0,True,win
2025-08-29 10:15:00,2025-08-29 10:15:00,day,short,24281,24311,sl,0,-30,-1500,28,45.0,False,normal_sl
