time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1999-06-28,2293.5,2357,2268.5,2347.5,,,,,,,,,
1999-07-05,2383.5,2410,2341,2398,,,,,,,,,
1999-07-12,2423,2489,2372.5,2484,,,,,,,,,
1999-07-19,2475.5,2489,2283.5,2303,,,,,,,,,
1999-07-26,2281,2353,2265.5,2294,,,,,,,,,
1999-08-02,2266.5,2325,2164.5,2224.5,,,,,,,,,
1999-08-09,2236,2302.5,2132,2297.5,,,,,,,,,
1999-08-16,2318,2363.5,2278,2308,,,,,,,,,
1999-08-23,2337,2477.5,2335.5,2405,,,,,,,,,
1999-08-30,2405,2513,2332.5,2513,,,,,,,,,
1999-09-06,2531,2564,2454,2537,,,,,,,,,
1999-09-13,2540,2579.5,2442.5,2568.5,,,,,,,,,
1999-09-20,2585,2588,2375,2426,,,,,,,,,
1999-09-27,2427,2486.5,2379.5,2431.5,,,,,,,,,
1999-10-04,2431.5,2599,2424.5,2578,,,,61.1406476558724,,,,,
1999-10-11,2578,2617,2405,2416,,,,52.31762797060414,,,,,
1999-10-18,2406.5,2547,2318.5,2496.5,,,,55.73588377613958,,,,,
1999-10-25,2497.5,2672,2438,2655.5,,,,61.592522331700835,,,,,
1999-11-01,2650,2784,2626.5,2784,,,,65.55865645081342,,,,,
1999-11-08,2750.5,2910,2740.5,2905,2468.625,2802.2957771142087,2134.9542228857913,68.82338784731522,,,,,
1999-11-15,2908.5,3049,2883.5,3043.5,2503.425,2915.315795599994,2091.5342044000063,72.08514641424154,,,,,
1999-11-22,3052,3165,2982.5,3121,2539.575,3027.922855017307,2051.2271449826926,73.74069787186635,,,,,
1999-11-29,3124,3218.5,2961.5,3174,2574.075,3134.078506685454,2014.0714933145455,74.8396599017326,,,,,
1999-12-06,3174.5,3229,3105,3207,2619.275,3228.253035318187,2010.2969646818133,75.52644262612988,,,,,
1999-12-13,3213,3458.5,3169,3413.5,2675.25,3355.9256569762147,1994.5743430237853,79.32884740706535,,,,,
1999-12-20,3439,3682,3431.5,3636,2745.825,3512.225044037057,1979.4249559629425,82.48628125243692,,,,,
1999-12-27,3635.5,3804.5,3566,3754,2818.65,3672.6051569022793,1964.6948430977209,83.89155180927308,,,,,
2000-01-03,3750,3895,3257,3562,2881.35,3759.9144028755113,2002.7855971244885,73.55036647286197,70.0441228420038,,,,
2000-01-10,3561,3804.5,3476,3752.5,2948.725,3876.149631708693,2021.3003682913068,76.6286857586612,71.1504112779173,,,,
2000-01-17,3743,3914,3669.5,3893,3017.725,4008.3976237763927,2027.052376223607,78.6063181420233,73.02817486159009,,,,
2000-01-24,3891.5,3938,3409,3475,3064.625,4048.6141196044796,2080.6358803955204,61.84064236817931,73.46422904673578,,,,
2000-01-31,3462,3960,3371,3906.5,3131.525,4152.727647617013,2110.3223523829874,69.15447443881638,74.00436848295831,,,,
2000-02-07,3906.5,4144,3875.5,3992.5,3209.85,4242.8156867486,2176.8843132514,70.37326762674022,74.3482692812388,,,,
2000-02-14,3983.5,4146,3861,3968,3286.675,4305.106307207312,2268.2436927926888,69.53038942553587,74.39876939396886,,,,
2000-02-21,3954.5,4316,3865.5,4194,3367.475,4404.4376066064315,2330.5123933935683,72.77025984235627,74.44770606740562,,,,
2000-02-28,4182.5,4458,4029,4454.5,3469.4,4512.95180034342,2425.8481996565806,75.94527049137206,74.60517554022746,,,,
2000-03-06,4447,4668,4272,4605,3574.825,4629.885769576807,2519.7642304231917,77.57231555593597,74.80036522981342,,,,
2000-03-13,4590,4604,4108,4516.5,3667.875,4710.390557437873,2625.359442562127,74.38604938662331,74.71890856984865,,,,
2000-03-20,4507.5,4884,4215,4804,3768.875,4840.296339856548,2697.453660143452,77.604295718799,74.59572630640105,,,,
2000-03-27,4787,4850,4211.5,4457.5,3846.5,4880.630552686652,2812.3694473133482,66.72326410098012,73.46979650986842,,,,
2000-04-03,4417,4417,3738.34,4337,3911.175,4896.9999476960875,2925.350052303913,63.39434442048956,72.00571026781246,,,,
2000-04-10,4031.66,4100.5,3148,3217.5,3916,4887.143346782543,2944.8566532174573,42.28631768905172,69.77256392611173,,,,
2000-04-17,3249.84,3781,3249.84,3535,3934.05,4861.8083683265795,3006.2916316734213,47.61375897819606,67.7000691560785,,,,
2000-04-24,3488.5,3826.5,3223,3810,3964.2,4832.794750156829,3095.605249843171,51.76674180455925,65.78295656054536,,,,
2000-05-01,3807.5,3910,3452,3695,3978.275,4819.407598048607,3137.1424019513934,49.982273910704656,64.9359302421543,,,,
2000-05-08,3682,3693,3194,3417.5,3967.35,4831.346475687258,3103.3535243127412,45.873001825430954,63.272967912626775,,,,
2000-05-15,3410,3683.5,3266,3280,3943.65,4854.490002415348,3032.8099975846526,43.945104999456454,61.385242010677935,,,,
2000-05-22,3276,3340.16,2902.5,3130,3922.05,4886.952684212247,2957.147315787754,41.87744081175634,59.41003139540796,,,,
2000-05-29,3123.5,3775.5,3123,3751.5,3922,4886.93792546464,2957.06207453536,51.96261520600226,57.92377106423982,,,,
2000-06-05,3752,3840,3605,3754.5,3915.075,4882.73011805602,2947.41988194398,52.00590557531296,56.21381642737846,,,,
2000-06-12,3745,3898,3644,3827.5,3932.7,4880.283526661374,2985.116473338626,53.1131643913837,54.466734201339015,,,,
2000-06-19,3823.5,4057.5,3718,3728,3923.775,4875.530770930753,2972.019229069247,51.37342278037644,52.82297515803567,,,,
2000-06-26,3737.5,3876,3678,3817,3915,4867.295437351247,2962.704562648754,52.86078428218538,51.05558148399184,,,,
2000-07-03,3801.5,3938.5,3652,3877.5,3910.475,4862.580113682308,2958.369886317692,53.89320758061787,50.13914887539454,,,,
2000-07-10,3869,4099,3752,4078,3904.675,4851.19770310859,2958.1522968914105,57.23591463174848,49.69926103334161,,,,
2000-07-17,4075.5,4134.5,3872.5,3934,3878.65,4791.287118464945,2966.0128815350554,54.19684791239238,50.55001319215165,,,,
2000-07-24,3934,4007,3473.5,3506,3823.7,4685.723920781786,2961.676079218214,46.323817800758775,50.45787453662041,,,,
2000-07-31,3508,3744.5,3370,3632,3779.475,4583.600144178443,2975.3498558215565,48.6870496413011,50.23789652495912,,,,
2000-08-07,3632.5,3809,3542.5,3663.5,3722.45,4375.419823192468,3069.4801768075313,49.288166236950644,50.18831740540526,,,,
2000-08-14,3662.5,3890,3634.5,3835.5,3691.35,4254.374963922559,3128.3250360774405,52.55639177639179,50.66570240190246,,,,
2000-08-21,3837.5,4001,3772.5,3959,3672.45,4168.960614186644,3175.9393858133553,54.80846739291828,51.441656858578305,,,,
2000-08-28,3955.5,4186,3929,4118,3717.475,4204.014666933749,3230.9353330662507,57.599054893318616,52.56462929297561,,,,
2000-09-04,4107.5,4143,3808,3808,3731.125,4211.702868300235,3250.5471316997646,50.988201570214784,52.495028318990784,,,,
2000-09-11,3808,3900,3669.5,3718.5,3726.55,4205.77749295089,3247.3225070491108,49.23137006568546,52.296847211160255,,,,
2000-09-18,3721,3874,3602,3776,3730.6,4210.061531303607,3251.1384686963934,50.41346849629822,52.10401179008272,,,,
2000-09-25,3776.5,3830,3580.5,3621,3740.775,4201.497636192315,3280.0523638076847,47.22158318918332,51.80745181928321,,,,
2000-10-02,3621,3668,3305,3357.5,3744.65,4190.881453396102,3298.4185466038975,42.31652361595665,51.054290343124016,,,,
2000-10-09,3359.5,3402,3021.5,3270.5,3751.675,4161.955181705129,3341.3948182948716,40.80927150269072,50.119723480414926,,,,
2000-10-16,3274,3555.5,3025,3499.5,3739.075,4163.825782812706,3314.324217187294,46.23747919117088,49.3341209489451,,,,
2000-10-23,3498.5,3563.5,2978.5,3222.5,3712.475,4193.00111531529,3231.9488846847094,41.30328401391342,48.413152099053754,,,,
2000-10-30,3220,3387,3062,3353,3688.75,4190.598732189291,3186.901267810709,44.3180396668386,48.26988223234516,,,,
2000-11-06,3353,3400,2892,2893,3647,4256.274486582196,3037.725513417804,37.08712152269911,47.44131593815931,,,,
2000-11-13,2858,3116.5,2755,2939.5,3603.125,4279.7686192708825,2926.481380729118,38.18508025644411,46.648238368123124,,,,
2000-11-20,2929,2946,2676,2829,3550.7,4293.431876251456,2807.968123748544,36.55256111542771,45.50510760662569,,,,
2000-11-27,2848,2929,2435,2572.5,3475.425,4290.7478363660575,2660.102163633943,33.02321903550754,43.94901843823921,,,,
2000-12-04,2572.5,2924,2480,2740.5,3415.75,4262.196483836987,2569.3035161630132,37.29385580303056,42.4986470746472,,,,
2000-12-11,2855,3033,2550.5,2602.5,3370.575,4286.519663994504,2454.630336005496,35.3025891946379,41.37824619067743,,,,
2000-12-18,2619.5,2692,2211,2469,3312.425,4299.50545644719,2325.34454355281,33.44232166236398,40.25045701901161,,,,
2000-12-25,2481.5,2543.5,2358.5,2374.5,3247.975,4301.066898886325,2194.8831011136745,32.150816689446756,38.945981889950794,,,,
2001-01-01,2375,2590,2130.5,2293.5,3170.875,4265.586052058945,2076.163947941055,31.044148789467044,37.790450861399634,,,,
2001-01-08,2290,2617,2171,2540,3099.925,4164.645210900497,2035.2047890995038,38.034396639497196,37.48458464879538,,,,
2001-01-15,2532,2769,2445,2686.5,3028.35,3997.899333453433,2058.800666546567,41.80990879664302,37.55605874122055,,,,
2001-01-22,2689.5,2797,2548.5,2645.5,2970.225,3883.601071232434,2056.8489287675657,41.05597625466716,37.18595138861315,,,,
2001-01-29,2630,2740,2478,2488.5,2908.725,3776.8007729023425,2040.6492270976573,38.21426919232753,36.96530747278558,,,,
2001-02-05,2494,2547.5,2271,2277,2833.775,3646.4666066380883,2021.083393361912,34.72714506327712,36.28024357253119,,,,
2001-02-12,2276.5,2437,2181,2227.5,2764.1,3532.6170525108737,1995.5829474891261,33.946389743382696,36.0559055882943,,,,
