time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2012-05-09,7426,7516,7426,7479,,,,,,,,,
2012-05-10,7472,7472,7356,7366,,,,,,,,,
2012-05-14,7306,7406,7291,7384,,,,,,,,,
2012-05-15,7359,7387,7359,7359,,,,,,,,,
2012-05-16,7262,7333,7251,7314,,,,,,,,,
2012-05-17,7198,7230,7128,7135,,,,,,,,,
2012-05-21,7260,7262,7202,7236,,,,,,,,,
2012-05-22,7165,7171,7091,7135,,,,,,,,,
2012-05-23,7155,7177,7082,7129,,,,,,,,,
2012-05-24,7160,7160,7048,7058,,,,,,,,,
2012-05-28,7109,7336,7105,7294,,,,,,,,,
2012-05-29,7274,7274,7196,7234,,,,,,,,,
2012-05-30,7134,7255,7086,7217,,,,,,,,,
2012-05-31,7223,7223,7075,7096,,,,,,,,,
2012-06-04,6943,7005,6925,6970,,,,29.122231337161608,,,,,
2012-06-05,6992,7055,6958,7015,,,,31.83225101656855,,,,,
2012-06-06,7145,7145,7020,7047,,,,33.77148222231294,,,,,
2012-06-07,7010,7040,6946,6955,,,,31.037707020176057,,,,,
2012-06-11,6982,7037,6962,7019,,,,34.98074959096296,,,,,
2012-06-13,7042,7070,7002,7048,7174.5,7473.497324402754,6875.502675597246,36.74562103476231,,,,,
2012-06-14,7035,7108,7032,7063,7153.7,7421.302765307105,6886.097234692895,37.68777594262157,,,,,
2012-06-15,7045,7162,7043,7154,7143.1,7392.394123476613,6893.805876523388,43.21376024611184,,,,,
2012-06-18,7305,7323,7245,7265,7137.15,7368.1723149395575,6906.127685060442,49.13877554087865,,,,,
2012-06-19,7260,7270,7234,7265,7132.45,7348.571701825623,6916.328298174377,49.13877554087865,,,,,
2012-06-20,7165,7181,7140,7169,7125.2,7325.63313099385,6924.76686900615,44.483329755038646,,,,,
2012-06-21,7165,7166,7093,7117,7124.3,7324.710678358209,6923.889321641791,42.153687124789926,,,,,
2012-06-22,7020,7048,6996,7034,7114.2,7311.410141727051,6916.989858272948,38.672306384842216,,,,,
2012-06-25,6950,6978,6939,6948,7104.85,7314.564353347488,6895.135646652513,35.40915955705576,38.38482945101155,,,,
2012-06-26,6939,6960,6923,6939,7095.35,7316.717816088922,6873.982183911079,35.07560227961484,38.81007023261535,,,,
2012-06-27,6919,7005,6898,6986,7091.75,7317.724224193809,6865.775775806191,38.34210859329508,39.275060059524385,,,,
2012-06-28,7025,7037,6962,7001,7077.1,7286.078372086632,6868.121627913369,39.39019370779399,39.676396594201606,,,,
2012-06-29,6981,7128,6981,7114,7071.1,7268.2719046922275,6873.928095307773,46.735614399691706,40.79767569273844,,,,
2012-07-02,7114,7151,7107,7136,7067.05,7255.1887519890515,6878.911248010949,48.05551771846343,41.73158770184562,,,,
2012-07-03,7170,7280,7160,7228,7073.65,7274.237412366784,6873.062587633215,53.27042790370107,42.91193104962696,,,,
2012-07-04,7261,7326,7250,7290,7089.65,7305.112548949961,6874.187451050038,56.443969872478505,44.25165918747388,,,,
2012-07-05,7298,7320,7277,7297,7103.75,7334.212903739422,6873.287096260578,56.800684029679616,45.22215374344301,,,,
2012-07-06,7288,7318,7237,7272,7115,7355.050827951094,6874.949172048906,55.066147687793446,45.645537468222635,,,,
2012-07-09,7213,7272,7202,7236,7129.05,7362.808400918512,6895.291599081488,52.57633146126497,45.89107717682166,,,,
2012-07-10,7250,7269,7162,7181,7137.15,7366.274660392578,6908.025339607421,48.93588290643662,46.2091166876358,,,,
2012-07-11,7151,7204,7133,7186,7144.05,7370.313982993285,6917.786017006715,49.27970862276818,46.71811822320567,,,,
2012-07-12,7180,7189,7068,7079,7144.85,7370.072800799503,6919.627199200498,42.65996089882501,47.00295068849016,,,,
2012-07-13,7079,7107,7045,7071,7140.7,7368.143267651578,6913.256732348422,42.203490549852276,47.48826004511848,,,,
2012-07-16,7096,7110,7021,7057,7130.3,7353.03042001481,6907.56957998519,41.369247734857204,47.937806149064365,,,,
2012-07-17,7042,7136,7030,7107,7122.4,7336.500350303329,6908.299649696671,45.51184627320733,48.44993026905809,,,,
2012-07-18,6981,6983,6883,6887,7108.3,7344.291610020339,6872.308389979661,34.09639263666429,48.07180162112026,,,,
2012-07-19,6965,7032,6945,7022,7103.55,7342.456236837797,6864.643763162203,43.466977480122566,47.83832755543675,,,,
2012-07-20,7020,7039,6996,7013,7102.5,7342.800228880432,6862.199771119568,43.027739921248234,47.479200569921375,,,,
2012-07-23,6936,6936,6844,6873,7098.75,7350.638765132525,6846.861234867475,36.798435051804866,46.30262965192878,,,,
2012-07-24,6862,6888,6850,6874,7095.5,7357.041966039847,6833.958033960153,36.868741012875624,44.904399019100005,,,,
2012-07-25,6792,6912,6776,6846,7088.5,7368.250245755009,6808.749754244991,35.67217510968159,43.395219810528715,,,,
2012-07-26,6860,6905,6833,6875,7082.2,7374.922804031417,6789.477195968582,37.91946159608802,42.17045651826404,,,,
2012-07-27,6968,7032,6946,7028,7077.9,7371.154087780559,6784.64591221944,48.201019026504596,41.85793420149544,,,,
2012-07-30,7097,7102,7056,7078,7075,7367.043147497057,6782.956852502943,51.05390700425432,42.00922163705385,,,,
2012-07-31,7098,7178,7061,7157,7071.45,7357.634887791078,6785.265112208922,55.247820461964416,42.43551533985358,,,,
2012-08-01,7131,7211,7131,7194,7066.65,7340.986490463846,6792.313509536153,57.1017790593842,43.46707377989352,,,,
2012-08-03,7142,7165,7116,7140,7058.8,7314.686381036533,6802.913618963467,53.611044484913876,44.28189906096935,,,,
2012-08-06,7265,7314,7235,7237,7057.05,7307.501172886037,6806.598827113963,58.516761570942535,45.50672147783259,,,,
2012-08-07,7237,7263,7223,7236,7057.05,7307.501172886037,6806.598827113963,58.448138280866466,46.43074233552254,,,,
2012-08-08,7300,7336,7278,7300,7063,7330.0513059320365,6795.9486940679635,61.555488850294594,48.39210635078184,,,,
2012-08-09,7353,7451,7346,7438,7075.6,7385.084345322946,6766.115654677054,67.24373004568818,50.09044581975081,,,,
2012-08-10,7459,7465,7425,7444,7093.85,7442.5471608716925,6745.152839128308,67.46910029360654,51.83625727491927,,,,
2012-08-13,7437,7475,7430,7453,7112.95,7494.818812552153,6731.081187447847,67.82668089439231,54.052560549389796,,,,
2012-08-14,7478,7545,7451,7495,7134.85,7550.1471345915825,6719.552865408418,69.5109564291153,56.38414736483549,,,,
2012-08-15,7482,7484,7428,7430,7151,7585.3915284625145,6716.6084715374855,63.93281111014149,58.40276422201119,,,,
2012-08-16,7461,7520,7441,7493,7181.3,7622.295736940823,6740.304263059177,66.72038702282713,60.459973181063994,,,,
2012-08-17,7510,7511,7468,7474,7203.9,7656.109641648684,6751.690358351315,65.08656958805686,61.666083935460584,,,,
2012-08-20,7474,7475,7397,7441,7225.3,7679.850811241161,6770.749188758839,62.235999897596734,62.46480485641361,,,,
2012-08-21,7463,7552,7456,7515,7257.4,7698.372742921836,6816.427257078163,65.84808372690534,63.22196651819512,,,,
2012-08-22,7486,7508,7453,7490,7288.2,7703.029892847699,6873.370107152301,63.63366502567863,63.688529801501865,,,,
2012-08-23,7475,7533,7468,7513,7321.55,7693.885587877377,6949.214412122624,64.80627699238022,64.48818926632087,,,,
2012-08-24,7454,7490,7441,7487,7352.15,7669.138501368753,7035.161498631246,62.3584523064649,64.76259574742961,,,,
2012-08-27,7528,7551,7452,7454,7373.45,7655.809681966121,7091.090318033878,59.297041984954085,64.82323172629302,,,,
2012-08-28,7432,7442,7376,7399,7389.5,7637.227673060561,7141.772326939439,54.495098045109735,64.31891809735124,,,,
2012-08-29,7401,7413,7381,7403,7401.8,7625.38228910178,7178.2177108982205,54.78189753541186,63.42878720376007,,,,
2012-08-30,7360,7394,7341,7367,7410.45,7613.663656037166,7207.236343962833,51.62810192898506,62.29728732057283,,,,
2012-08-31,7369,7419,7363,7382,7422.55,7584.548117272966,7260.551882727034,52.84621190969192,61.22725382166566,,,,
2012-09-03,7356,7465,7352,7442,7432.8,7570.687780459299,7294.912219540702,57.46074655674103,60.3665245450675,,,,
2012-09-04,7442,7469,7431,7448,7443.4,7547.6293624657665,7339.170637534233,57.90438873328781,59.9359229467208,,,,
2012-09-05,7402,7410,7340,7344,7445.6,7538.9153792252955,7352.284620774705,48.468745439714084,58.63223426221273,,,,
2012-09-06,7329,7368,7286,7332,7440.3,7545.9638064806195,7334.636193519381,47.5068044268831,57.37653675070032,,,,
2012-09-07,7460,7480,7404,7419,7439.05,7545.099941065395,7333.0000589346055,54.549627800182236,56.827510172313566,,,,
2012-09-10,7424,7468,7413,7456,7439.2,7545.336892737594,7333.0631072624055,57.18080123961075,56.208418566078244,,,,
2012-09-11,7448,7490,7438,7465,7437.7,7541.4614571986995,7333.9385428013,57.820446925160574,55.793188701755525,,,,
2012-09-12,7510,7587,7506,7583,7445.35,7566.770385438346,7323.9296145616545,65.16745233673049,55.818986940637686,,,,
2012-09-13,7588,7609,7571,7576,7449.5,7582.292319055026,7316.707680944974,64.45026304542466,55.96840199342053,,,,
2012-09-14,7698,7758,7671,7738,7462.7,7645.629603946462,7279.770396053537,72.10224541458103,56.88305938125102,,,,
2012-09-17,7731,7767,7726,7750,7478.15,7699.334334888392,7256.965665111607,72.57318357570442,58.17435120486493,,,,
2012-09-18,7735,7769,7713,7749,7489.85,7740.400014967017,7239.299985032983,72.4634051976191,59.43731603787973,,,,
2012-09-19,7755,7797,7741,7788,7504.75,7787.001572183377,7222.498427816623,74.10834403099315,61.0430476165946,,,,
2012-09-20,7777,7786,7716,7749,7516.55,7818.256794752753,7214.843205247247,69.62900056665669,62.24181823494923,,,,
2012-09-21,7771,7782,7748,7761,7530.25,7849.706961107439,7210.793038892561,70.22534250432167,63.15357508834784,,,,
2012-09-24,7743,7811,7686,7775,7546.3,7880.724939261401,7211.875060738599,70.94219619989488,64.08484705024834,,,,
2012-09-25,7778,7810,7745,7756,7564.15,7903.297327868031,7225.002672131968,68.53073975310667,65.5178466440621,,,,
2012-09-26,7696,7725,7669,7700,7579,7914.61287222036,7243.38712777964,61.85681289701469,66.5428472490715,,,,
2012-09-27,7680,7730,7679,7728,7597.05,7923.828502964925,7270.271497035075,63.757326311706755,67.20053999989469,,,,
2012-09-28,7731,7748,7666,7719,7613.9,7929.135721326172,7298.6642786738275,62.67632395874287,67.59307733697555,,,,
2012-10-01,7692,7706,7666,7684,7626,7932.367100061368,7319.632899938632,58.52087839602728,67.64310815632317,,,,
2012-10-02,7720,7748,7693,7729,7640.05,7938.137554252048,7341.962445747952,62.00850231823252,67.4174688692876,,,,
2012-10-03,7738,7741,7688,7704,7658.05,7924.224735840913,7391.875264159087,59.03855989014488,67.03091864391048,,,,
2012-10-04,7710,7715,7633,7706,7676.75,7897.3137096169585,7456.1862903830415,59.20688863689038,66.10982173121829,,,,
2012-10-05,7716,7733,7681,7701,7690.85,7877.085630318096,7504.6143696819045,58.558998445269836,65.10880850761582,,,,
2012-10-08,7680,7692,7613,7625,7699.3,7854.974146858101,7543.625853141899,49.663074881637456,63.4802134850457,,,,
2012-10-09,7628,7646,7595,7596,7705.85,7829.210082684711,7582.48991731529,46.74496696612847,61.52568655184109,,,,
2012-10-11,7503,7508,7442,7444,7698.9,7859.271942683333,7538.5280573166665,35.10268016296743,59.05952080872043,,,,
2012-10-12,7436,7462,7384,7413,7690.75,7887.677270838739,7493.822729161261,33.28207161855755,56.42071574545156,,,,
2012-10-15,7391,7434,7386,7425,7675.1,7901.989312220719,7448.210687779282,34.694066673607296,53.83156363643102,,,,
2012-10-16,7462,7463,7435,7458,7660.5,7903.256256356029,7417.743743643971,38.54582802871444,51.689784227545864,,,,
2012-10-17,7487,7507,7432,7434,7644.75,7902.882427253908,7386.617572746092,36.84385085287277,49.90314408153573,,,,
2012-10-18,7463,7478,7442,7453,7628,7890.220517885222,7365.779482114778,39.13508978736219,48.1444129012254,,,,
2012-10-19,7465,7468,7385,7387,7609.9,7885.829628709924,7333.9703712900755,34.458529882349964,46.12885618148305,,,,
2012-10-22,7290,7360,7287,7347,7589.2,7878.475370538194,7299.924629461806,31.965420525278503,44.23203776214386,,,,
2012-10-23,7342,7350,7294,7299,7565.4,7867.647183609731,7263.1528163902685,29.232215303300023,41.8908744039344,,,,
