time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2012-05-07,7426,7516,7356,7366,,,,,,,,,
2012-05-14,7306,7406,7128,7135,,,,,,,,,
2012-05-21,7260,7262,7048,7058,,,,,,,,,
2012-05-28,7109,7336,7075,7096,,,,,,,,,
2012-06-04,6943,7145,6925,6955,,,,,,,,,
2012-06-11,6982,7162,6962,7154,,,,,,,,,
2012-06-18,7305,7323,6996,7034,,,,,,,,,
2012-06-25,6950,7128,6898,7114,,,,,,,,,
2012-07-02,7114,7326,7107,7272,,,,,,,,,
2012-07-09,7213,7272,7045,7071,,,,,,,,,
2012-07-16,7096,7136,6883,7013,,,,,,,,,
2012-07-23,6936,7032,6776,7028,,,,,,,,,
2012-07-30,7097,7211,7056,7140,,,,,,,,,
2012-08-06,7265,7465,7223,7444,,,,,,,,,
2012-08-13,7437,7545,7428,7474,,,,53.06122448979591,,,,,
2012-08-20,7474,7552,7397,7487,,,,53.43082114735658,,,,,
2012-08-27,7528,7551,7341,7382,,,,50.005917860101796,,,,,
2012-09-03,7356,7480,7286,7419,,,,51.19314654714696,,,,,
2012-09-10,7424,7758,7413,7738,,,,60.0104525683165,,,,,
2012-09-17,7731,7797,7713,7761,7257.05,7723.305069677523,6790.794930322478,60.56364183213488,,,,,
2012-09-24,7743,7811,7666,7719,7274.7,7781.1121246573875,6768.287875342612,58.95969984838616,,,,,
2012-10-01,7692,7748,7633,7701,7303,7837.502385401611,6768.497614598389,58.24772680278692,,,,,
2012-10-08,7680,7692,7384,7413,7320.75,7845.009048562838,6796.490951437162,48.215456267135906,,,,,
2012-10-15,7391,7507,7385,7387,7335.3,7849.863931887955,6820.736068112045,47.42138401129458,,,,,
2012-10-22,7290,7360,7090,7092,7342.15,7839.645437165013,6844.654562834986,39.47713696233429,,,,,
2012-10-29,7112,7226,7030,7201,7344.5,7838.852303524509,6850.147696475491,43.259480644582176,,,,,
2012-11-05,7195,7300,7127,7286,7357.1,7831.601380398385,6882.598619601616,46.088896957796194,,,,,
2012-11-12,7270,7305,7035,7107,7356.75,7831.977892699925,6881.522107300075,41.40628081177632,50.81009048221036,,,,
2012-11-19,7137,7328,7020,7319,7359.1,7833.091518911445,6885.108481088556,48.128169703779896,50.457729426066365,,,,
2012-11-26,7370,7604,7357,7594,7385.25,7850.403684280785,6920.096315719215,55.29287772343157,50.590733467214584,,,,
2012-12-03,7605,7692,7548,7659,7417.55,7864.169065871548,6970.9309341284525,56.81133322021821,51.076834564365754,,,,
2012-12-10,7681,7777,7580,7704,7451.35,7876.743594215967,7025.956405784033,57.87797462486846,51.554322284203,,,,
2012-12-17,7690,7708,7471,7492,7468.95,7869.77837973379,7068.12162026621,51.43329914443975,50.94166846821181,,,,
2012-12-24,7517,7709,7490,7677,7480.6,7891.27378781702,7069.926212182981,56.03401188321004,50.61812347186003,,,,
2012-12-31,7725,7835,7701,7775,7495.65,7925.850546257231,7065.449453742768,58.28817203379585,50.5701571993893,,,,
2013-01-07,7748,7867,7672,7802,7511.4,7961.7724680750525,7061.027531924947,58.91319031755479,50.617690307587004,,,,
2013-01-14,7762,7828,7582,7712,7527.9,7982.262806576421,7073.537193423578,55.906036574449054,51.16701747239508,,,,
2013-01-21,7680,7788,7612,7650,7539.45,7993.896685541903,7085.003314458097,53.86620941813069,51.62736214431195,,,,
2013-01-28,7635,7900,7621,7859,7545.5,8013.381822686035,7077.618177313965,59.26220366089016,53.040581194208805,,,,
2013-02-04,7878,7952,7869,7901,7552.5,8036.964033752771,7068.035966247229,60.26793314687071,54.255470658657984,,,,
2013-02-18,7965,8020,7902,7951,7564.1,8074.377532329218,7053.822467670782,61.486915313928954,55.35532911266746,,,,
2013-02-25,7985,7990,7860,7936,7575.85,8108.526740622294,7043.173259377707,60.883437514901395,56.74655459146212,,,,
2013-03-04,7941,8032,7827,8008,7605.6,8164.394201831031,7046.80579816897,62.77217738687155,57.79255514025437,,,,
2013-03-11,8008,8068,7906,7909,7631.7,8195.951043419513,7067.448956580486,58.5835247542958,58.027601356744675,,,,
2013-03-18,7865,7870,7758,7774,7665.8,8175.233646317149,7156.366353682852,53.355149498654356,57.78073109091868,,,,
2013-03-25,7838,7935,7820,7923,7701.9,8175.537371836349,7228.26262816365,57.82863556058671,57.77720687204141,,,,
2013-04-01,7933,7953,7875,7936,7734.4,8177.653155657175,7291.146844342824,58.20525766222565,58.2609181947404,,,,
2013-04-08,7876,7876,7697,7784,7768.25,8105.378981251965,7431.121018748035,52.321518533128724,57.99574009830602,,,,
2013-04-15,7762,7945,7693,7942,7799.4,8074.076828291074,7524.723171708925,57.16831251807133,57.915750132897124,,,,
2013-04-22,7964,8066,7896,7997,7819.55,8090.094987016953,7549.005012983047,58.740646671650204,57.90342558676108,,,,
2013-04-29,8003,8175,8000,8140,7843.6,8137.306247805447,7549.893752194554,62.58628572596814,58.38058624044101,,,,
2013-05-06,8198,8330,8150,8309,7873.85,8223.170640672673,7524.529359327327,66.55387952697616,59.28684839107285,,,,
2013-05-13,8315,8440,8229,8401,7919.3,8293.703044859394,7544.896955140606,68.51152401352994,59.94751413054713,,,,
2013-05-20,8405,8449,8146,8220,7946.45,8325.358155098324,7567.541844901676,60.95266561190584,59.996423592335354,,,,
2013-05-27,8190,8345,8183,8242,7969.8,8360.928418808922,7578.671581191078,61.50855147032279,59.99796903207777,,,,
2013-06-03,8146,8230,8050,8087,7984.05,8370.424158038526,7597.675841961474,55.512333413785406,59.61431873914091,,,,
2013-06-10,8140,8186,7905,7921,7994.5,8361.707026076572,7627.292973923429,49.90162522416404,58.69499358466181,,,,
2013-06-17,7921,8012,7588,7658,7994.9,8360.619510007396,7629.180489992604,42.561874801630644,57.550590016614294,,,,
2013-06-24,7625,7860,7580,7828,7993.35,8361.61418506283,7625.08581493717,47.89658294832727,57.160692405876645,,,,
2013-07-01,7818,7979,7801,7964,7996.5,8362.622110777273,7630.3778892227265,51.75687786912087,56.7269954279148,,,,
2013-07-08,7961,8185,7820,8183,8008.1,8382.331960153022,7633.868039846979,57.24956326697853,56.65873154254,,,,
2013-07-15,8145,8238,7953,7957,8009.15,8382.684081443726,7635.615918556274,50.81932298802293,56.55143186074673,,,,
2013-07-22,7967,8183,7967,8099,8013.7,8389.278540388039,7638.121459611961,54.293095853715066,56.34605924186415,,,,
2013-07-29,8074,8146,8000,8061,8021.3,8394.238654472796,7648.361345527204,53.20996769525091,55.9510107435499,,,,
2013-08-05,8066,8108,7801,7824,8023.8,8390.695407439205,7656.904592560796,46.922627037657264,54.83217798009913,,,,
