time,open,high,low,close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-01-02 08:45:00+08:00,21500,21543,21470,21519,,,,,,
2025-01-02 09:15:00+08:00,21519,21558,21409,21466,0.0,,,,,
2025-01-02 09:45:00+08:00,21466,21566,21446,21509,5.87,,,,,
2025-01-02 10:15:00+08:00,21509,21607,21479,21563,12.8,,,,,
2025-01-02 10:45:00+08:00,21563,21624,21427,21461,11.13,,,,,
2025-01-02 11:15:00+08:00,21461,21508,21349,21394,10.2,,,,,
2025-01-02 11:45:00+08:00,21394,21442,21314,21403,11.28,,,,,
2025-01-02 12:15:00+08:00,21403,21440,21318,21389,11.05,,,,,
2025-01-02 12:45:00+08:00,21389,21437,21358,21391,11.32,,,,,
2025-01-02 13:15:00+08:00,21391,21415,21318,21348,10.58,9.36,,,,
2025-01-02 15:00:00+08:00,21348,21414,21329,21398,17.38,11.29,,,,
2025-01-02 15:30:00+08:00,21398,21464,21366,21442,22.93,13.19,,,,
2025-01-02 16:00:00+08:00,21442,21499,21376,21449,23.8,14.41,,,,
2025-01-02 16:30:00+08:00,21449,21554,21384,21512,31.37,16.66,,,,
2025-01-02 17:00:00+08:00,21512,21617,21474,21540,34.49,19.36,,,,
2025-01-02 17:30:00+08:00,21540,21559,21457,21497,32.08,21.67,,,,
2025-01-02 18:00:00+08:00,21497,21550,21421,21519,34.6,24.28,,,,
2025-01-02 18:30:00+08:00,21519,21551,21405,21470,31.77,26.56,,,,
2025-01-02 19:00:00+08:00,21470,21535,21456,21520,37.39,29.53,,,,
2025-01-02 19:30:00+08:00,21520,21572,21489,21521,37.5,31.77,,,,
2025-01-02 20:00:00+08:00,21521,21557,21482,21513,36.94,33.33,,,,
2025-01-02 20:30:00+08:00,21513,21594,21421,21480,34.63,34.53,,,,
2025-01-02 21:00:00+08:00,21480,21564,21437,21548,42.59,35.78,,,,
2025-01-02 21:30:00+08:00,21548,21591,21513,21543,42.18,36.63,,,,
2025-01-02 22:00:00+08:00,21543,21580,21475,21522,40.44,37.56,,,,
2025-01-02 22:30:00+08:00,21522,21551,21475,21506,39.11,38.06,,,,
2025-01-02 23:00:00+08:00,21506,21576,21480,21538,43.13,39.32,,,,
2025-01-02 23:30:00+08:00,21538,21643,21472,21560,45.79,40.26,,,,
2025-01-03 00:00:00+08:00,21560,21618,21508,21585,48.72,41.5,,,,
2025-01-03 00:30:00+08:00,21585,21692,21530,21611,51.65,43.14,,,,
2025-01-03 01:00:00+08:00,21611,21803,21556,21730,62.26,46.21,,,,
2025-01-03 01:30:00+08:00,21730,21782,21664,21711,60.0,48.14,,,,
2025-01-03 02:00:00+08:00,21711,21729,21670,21686,57.06,49.8,,,,
2025-01-03 02:30:00+08:00,21686,21698,21613,21645,52.51,51.14,,,,
2025-01-03 03:00:00+08:00,21645,21751,21554,21681,55.84,53.0,,,,
2025-01-03 03:30:00+08:00,21681,21789,21655,21745,61.06,54.99,,,,
2025-01-03 04:00:00+08:00,21745,21768,21732,21742,60.7,56.64,,,,
2025-01-03 04:30:00+08:00,21742,21772,21669,21699,55.6,57.41,,,,
2025-01-03 08:45:00+08:00,21699,21718,21635,21657,51.09,57.35,,,,
2025-01-03 09:15:00+08:00,21657,21716,21630,21695,54.68,56.5,,,,
2025-01-03 09:45:00+08:00,21695,21782,21653,21738,58.39,56.33,,,,
2025-01-03 10:15:00+08:00,21738,21820,21641,21770,60.95,56.76,,,,
2025-01-03 10:45:00+08:00,21770,21848,21682,21737,57.05,57.26,,,,
2025-01-03 11:15:00+08:00,21737,21776,21698,21753,58.44,57.55,,,,
2025-01-03 11:45:00+08:00,21753,21808,21694,21762,59.24,57.35,,,,
2025-01-03 12:15:00+08:00,21762,21802,21709,21776,60.51,57.33,,,,
2025-01-03 12:45:00+08:00,21776,21866,21689,21827,64.82,58.35,,,,
2025-01-03 13:15:00+08:00,21827,21881,21787,21842,65.99,60.01,,,,
2025-01-03 15:00:00+08:00,21842,21902,21807,21882,68.97,61.6,,,,
2025-01-03 15:30:00+08:00,21882,21921,21859,21888,69.4,62.82,,,,
2025-01-03 16:00:00+08:00,21888,21941,21823,21907,70.79,63.91,,,,
2025-01-03 16:30:00+08:00,21907,22016,21842,21944,73.33,65.72,,,,
2025-01-03 17:00:00+08:00,21944,21966,21847,21868,61.51,66.06,,,,
2025-01-03 17:30:00+08:00,21868,21915,21814,21853,59.47,66.09,,,,
2025-01-03 18:00:00+08:00,21853,21866,21795,21830,56.38,65.63,,,,
2025-01-03 18:30:00+08:00,21830,21875,21764,21798,52.32,64.24,,,,
2025-01-03 19:00:00+08:00,21798,21813,21755,21786,50.84,62.56,,,,
2025-01-03 19:30:00+08:00,21786,21892,21765,21870,59.48,61.5,,,,
2025-01-03 20:00:00+08:00,21870,21950,21792,21826,54.11,59.8,,,,
2025-01-03 20:30:00+08:00,21826,21902,21784,21882,59.16,58.51,,,,
2025-01-03 21:00:00+08:00,21882,21912,21763,21793,49.78,55.89,,,,
2025-01-03 21:30:00+08:00,21793,21858,21752,21777,48.3,54.43,,,,
2025-01-03 22:00:00+08:00,21777,21839,21729,21789,49.52,53.32,,,,
2025-01-03 22:30:00+08:00,21789,21850,21733,21824,52.98,52.94,,,,
2025-01-03 23:00:00+08:00,21824,21920,21771,21865,56.73,53.43,,,,
2025-01-03 23:30:00+08:00,21865,21935,21809,21912,60.61,54.52,,,,
2025-01-06 08:45:00+08:00,21912,21988,21867,21895,58.57,54.42,,,,
2025-01-06 09:15:00+08:00,21895,21923,21847,21873,55.94,54.62,,,,
2025-01-06 09:45:00+08:00,21873,21981,21845,21923,60.3,54.75,,,,
2025-01-06 10:15:00+08:00,21923,21986,21854,21915,59.29,55.8,,,,
2025-01-06 10:45:00+08:00,21915,21967,21744,21848,51.5,56.16,,,,
2025-01-06 11:15:00+08:00,21848,21915,21750,21789,45.79,55.75,,,,
2025-01-06 11:45:00+08:00,21789,21812,21700,21742,41.81,54.5,,,,
2025-01-06 12:15:00+08:00,21742,21869,21703,21772,45.09,53.21,,,,
2025-01-06 12:45:00+08:00,21772,21857,21702,21782,46.18,51.61,,,,
2025-01-06 13:15:00+08:00,21782,21861,21698,21823,50.51,50.71,,,,
2025-01-06 15:00:00+08:00,21823,21860,21761,21802,48.36,49.87,,,,
2025-01-06 15:30:00+08:00,21802,21830,21763,21814,49.68,48.69,,,,
2025-01-06 16:00:00+08:00,21814,21869,21798,21851,53.61,48.06,,,,
2025-01-06 16:30:00+08:00,21851,21912,21784,21837,51.95,48.11,,,,
2025-01-06 17:00:00+08:00,21837,21904,21799,21865,54.94,49.13,,,,
2025-01-06 17:30:00+08:00,21865,21888,21808,21831,50.81,50.13,,,,
2025-01-06 18:00:00+08:00,21831,21919,21745,21814,48.83,50.54,,,,
2025-01-06 18:30:00+08:00,21814,21853,21767,21796,46.75,50.6,,,,
2025-01-06 19:00:00+08:00,21796,21843,21694,21734,40.38,49.48,,,,
2025-01-06 19:30:00+08:00,21734,21776,21722,21763,44.21,49.02,,,,
2025-01-06 20:00:00+08:00,21763,21839,21716,21741,42.01,48.17,,,,
2025-01-06 20:30:00+08:00,21741,21813,21711,21744,42.43,46.92,,,,
2025-01-06 21:00:00+08:00,21744,21835,21686,21773,46.48,46.32,,,,
2025-01-06 21:30:00+08:00,21773,21848,21746,21800,50.0,45.77,,,,
2025-01-06 22:00:00+08:00,21800,21904,21681,21839,54.65,46.19,,,,
2025-01-06 22:30:00+08:00,21839,21857,21816,21837,54.37,46.81,,,,
2025-01-06 23:00:00+08:00,21837,21870,21788,21817,51.54,47.34,,,,
2025-01-06 23:30:00+08:00,21817,21846,21745,21815,51.25,48.55,,,,
2025-01-07 00:00:00+08:00,21815,21845,21706,21726,40.43,48.13,,,,
2025-01-07 00:30:00+08:00,21726,21749,21612,21651,33.93,47.23,,,,
2025-01-07 01:00:00+08:00,21651,21723,21514,21582,29.27,45.77,,,,
2025-01-07 01:30:00+08:00,21582,21639,21500,21527,26.18,43.51,,,,
2025-01-07 02:00:00+08:00,21527,21582,21454,21547,29.11,41.19,,,,
2025-01-07 02:30:00+08:00,21547,21602,21462,21496,26.25,38.04,,,,
2025-01-07 03:00:00+08:00,21496,21522,21452,21475,25.16,34.79,,,,
2025-01-07 03:30:00+08:00,21475,21571,21420,21543,34.67,32.92,,,,
