Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2024-01-05 21:30,S2_SL,2026.292,4.8,9824.4528,-98.25,-1.00,20.11,0.20,-98.25,-1.00,-98.25,-0.98,55
1,Entry long,2024-01-04 17:00,S2_LE,2046.761,4.8,9824.4528,-98.25,-1.00,20.11,0.20,-98.25,-1.00,-98.25,-0.98,55
2,Exit long,2024-01-17 01:00,S2_SL,2026.939,4.8,9827.592,-98.28,-1.00,53.78,0.55,-98.28,-1.00,-196.54,-1.97,83
2,Entry long,2024-01-13 03:00,S2_LE,2047.415,4.8,9827.592,-98.28,-1.00,53.78,0.55,-98.28,-1.00,-196.54,-1.97,83
3,Exit long,2024-03-05 18:30,S2_LX_TP1,2126.383,4.7,9798.0477,195.95,2.00,200.5,2.05,-26.75,-0.27,-0.58,-0.01,72
3,Entry long,2024-03-02 04:30,S2_LE,2084.691,4.7,9798.0477,195.95,2.00,200.5,2.05,-26.75,-0.27,-0.58,-0.01,72
4,Exit long,2024-03-08 22:00,S2_LX_TP1,2170.685,4.6,9789.3704,195.78,2.00,263.3,2.69,-22.65,-0.23,195.2,1.95,121
4,Entry long,2024-03-06 07:30,S2_LE,2128.124,4.6,9789.3704,195.78,2.00,263.3,2.69,-22.65,-0.23,195.2,1.95,121
5,Exit long,2024-03-21 06:30,S2_LX_TP1,2207.892,4.6,9957.1646,199.14,2.00,268.22,2.69,-86.94,-0.87,394.34,3.94,246
5,Entry long,2024-03-13 21:30,S2_LE,2164.601,4.6,9957.1646,199.14,2.00,268.22,2.69,-86.94,-0.87,394.34,3.94,246
6,Exit long,2024-03-21 22:00,S2_SL,2177.009,4.5,9895.5045,-98.96,-1.00,60.53,0.61,-98.96,-1.00,295.37,2.95,26
6,Entry long,2024-03-21 09:00,S2_LE,2199.001,4.5,9895.5045,-98.96,-1.00,60.53,0.61,-98.96,-1.00,295.37,2.95,26
7,Exit long,2024-03-29 01:00,S2_LX_TP1,2217.566,4.5,9783.387,195.66,2.00,231.43,2.37,-30.99,-0.32,491.03,4.91,135
7,Entry long,2024-03-26 02:30,S2_LE,2174.086,4.5,9783.387,195.66,2.00,231.43,2.37,-30.99,-0.32,491.03,4.91,135
8,Exit long,2024-04-02 22:00,S2_LX_TP1,2264.792,4.5,9991.737,199.83,2.00,208.86,2.09,-11.53,-0.12,690.86,6.91,82
