time,open,high,low,close
2012-10-12,1767.35,1773.3,1752.5,1753.5
2012-10-15,1753.5,1754.75,1728.94,1735.6
2012-10-16,1735.6,1748.23,1734.6,1747.9
2012-10-17,1747.32,1753.5,1743.06,1748.8
2012-10-18,1748.75,1752.16,1738.37,1740.97
2012-10-19,1740.98,1743.34,1716.46,1721.1
2012-10-22,1721.1,1729.4,1713.5,1727.65
2012-10-23,1727.55,1730.1,1703.7,1705.75
2012-10-24,1705.6,1714.3,1698.8,1701.87
2012-10-25,1701.38,1718,1701.38,1710.75
2012-10-26,1710.74,1718.79,1700.98,1710.3
2012-10-29,1711,1717.29,1706.2,1709.2
2012-10-30,1708.8,1715.19,1705.3,1708.8
2012-10-31,1708.49,1726,1708.49,1719.5
2012-11-01,1720.7,1727.01,1713.3,1713.8
2012-11-02,1713.6,1716.87,1674.85,1677.4
2012-11-05,1677.3,1686.3,1672.9,1684.7
2012-11-06,1684.87,1720.91,1683.4,1715.9
2012-11-07,1715.69,1731.84,1703.33,1717.29
2012-11-08,1717.49,1735.14,1712.92,1731.16
2012-11-09,1731.12,1738.8,1727.36,1730.7
2012-11-12,1730.4,1737.96,1725.9,1728
2012-11-13,1727.89,1732.9,1718.22,1724.72
2012-11-14,1724.67,1734,1720.95,1726.22
2012-11-15,1726.24,1727.95,1705.09,1715.63
2012-11-16,1715.44,1717.42,1706.07,1713.3
2012-11-19,1713.7,1735.56,1713.5,1731.5
2012-11-20,1731.24,1735.65,1722,1726.75
2012-11-21,1726.7,1731.99,1719.93,1728.64
2012-11-23,1729.2,1754.4,1728.2,1749.2
2012-11-26,1752,1752.27,1746.13,1748.43
2012-11-27,1748.31,1751.82,1740.2,1741.8
2012-11-28,1741.92,1743.11,1706.12,1719.56
2012-11-29,1719.4,1728.71,1718.27,1725.7
2012-11-30,1725.7,1731.7,1708.4,1714.6
2012-12-03,1714.8,1722.7,1712.4,1715.69
2012-12-04,1715.49,1718.19,1691.46,1697.3
2012-12-05,1697.3,1706.91,1685.02,1693.62
2012-12-06,1693.8,1703.26,1686.12,1699.59
2012-12-07,1699.75,1705.5,1683.25,1704.04
2012-12-10,1703.8,1717.3,1702.5,1712.54
2012-12-11,1712.8,1714.4,1705.04,1709.9
2012-12-12,1709.9,1723.3,1707.48,1711.47
2012-12-13,1711.24,1711.8,1689.62,1697
2012-12-14,1696.79,1700.47,1693.7,1695.56
2012-12-17,1695.6,1699.8,1686.87,1697.95
2012-12-18,1697.81,1703.1,1661,1670.89
2012-12-19,1670.95,1676.72,1663.3,1667.1
2012-12-20,1666.97,1671.9,1636,1647.37
2012-12-21,1647.8,1659.71,1635.4,1656.87
2012-12-24,1656.7,1665.91,1652.23,1658.2
2012-12-26,1658.2,1667.9,1650.2,1659.3
2012-12-27,1658.9,1665.43,1652.91,1663.76
2012-12-28,1663.83,1666.3,1653.4,1655.59
2012-12-31,1655.4,1680.4,1654.8,1674.95
2013-01-02,1675.34,1694.86,1670.35,1686.54
2013-01-03,1686.35,1689.94,1660.6,1663.8
2013-01-04,1663.59,1664.18,1626.18,1655.49
2013-01-07,1655.2,1662.6,1643.17,1646.82
2013-01-08,1646.6,1662.54,1646.2,1659.03
2013-01-09,1659.02,1665.9,1651.7,1657.54
2013-01-10,1657.63,1678.83,1653.7,1674.8
2013-01-11,1675.08,1677,1653.61,1662.59
2013-01-14,1662.3,1674.8,1659,1667.27
2013-01-15,1667.54,1685.21,1666.2,1679.18
2013-01-16,1678.94,1684.85,1673.8,1679.9
2013-01-17,1679.57,1697.5,1667,1687.1
2013-01-18,1687.35,1695.3,1683.6,1683.9
2013-01-22,1692.25,1695.1,1683.95,1692.4
2013-01-23,1685.43,1686.1,1665.28,1685.38
2013-01-24,1667.8,1672.36,1656.25,1667.69
2013-01-25,1667.8,1672.36,1656.25,1658.15
2013-01-28,1658.2,1662.4,1652.3,1655.3
2013-01-29,1655.75,1666.01,1654.3,1663.3
2013-01-30,1663.2,1684.05,1662.6,1676.67
2013-01-31,1676.6,1680.8,1658.13,1663.35
2013-02-01,1663.2,1682.1,1659.8,1666.66
2013-02-04,1666.7,1677.6,1661.8,1674.3
2013-02-05,1674.3,1685.3,1666.87,1672.62
2013-02-06,1672.8,1679.7,1668.56,1677.22
2013-02-07,1677.6,1683.3,1663.33,1670.88
2013-02-08,1670.9,1673.7,1665.26,1667.1
2013-02-11,1666.7,1669.7,1644.06,1647.94
2013-02-12,1647.85,1653.4,1639.46,1651.2
