time,open,high,low,close
1925-08-03,20.75,20.75,20.75,20.75
1925-08-31,20.75,20.75,20.75,20.75
1925-09-28,20.75,20.75,20.75,20.75
1925-11-02,20.75,20.75,20.75,20.75
1925-11-30,20.75,20.75,20.75,20.75
1925-12-28,20.72,20.72,20.72,20.72
1926-02-01,20.72,20.72,20.72,20.72
1926-03-01,20.72,20.72,20.72,20.72
1926-03-29,20.72,20.72,20.72,20.72
1926-05-03,20.72,20.72,20.72,20.72
1926-05-31,20.72,20.72,20.72,20.72
1926-06-28,20.72,20.72,20.72,20.72
1926-08-02,20.72,20.72,20.72,20.72
1926-08-30,20.72,20.72,20.72,20.72
1926-09-27,20.72,20.72,20.72,20.72
1926-11-01,20.72,20.72,20.72,20.72
1926-11-29,20.72,20.72,20.72,20.72
1927-01-03,20.75,20.75,20.75,20.75
1927-01-31,20.75,20.75,20.75,20.75
1927-02-28,20.75,20.75,20.75,20.75
1927-03-28,20.75,20.75,20.75,20.75
1927-05-02,20.75,20.75,20.75,20.75
1927-05-30,20.75,20.75,20.75,20.75
1927-06-27,20.75,20.75,20.75,20.75
1927-08-01,20.75,20.75,20.75,20.75
1927-08-29,20.75,20.75,20.75,20.75
1927-10-03,20.75,20.75,20.75,20.75
1927-10-31,20.75,20.75,20.75,20.75
1927-11-28,20.75,20.75,20.75,20.75
1928-01-02,20.78,20.78,20.78,20.78
1928-01-30,20.78,20.78,20.78,20.78
1928-02-27,20.78,20.78,20.78,20.78
1928-04-02,20.78,20.78,20.78,20.78
1928-04-30,20.78,20.78,20.78,20.78
1928-05-28,20.78,20.78,20.78,20.78
1928-07-02,20.78,20.78,20.78,20.78
1928-07-30,20.78,20.78,20.78,20.78
1928-09-03,20.78,20.78,20.78,20.78
1928-10-01,20.78,20.78,20.78,20.78
1928-10-29,20.78,20.78,20.78,20.78
1928-12-03,20.78,20.78,20.78,20.78
1928-12-31,20.72,20.72,20.72,20.72
1929-01-28,20.72,20.72,20.72,20.72
1929-02-25,20.72,20.72,20.72,20.72
1929-04-01,20.72,20.72,20.72,20.72
1929-04-29,20.72,20.72,20.72,20.72
1929-06-03,20.72,20.72,20.72,20.72
1929-07-01,20.72,20.72,20.72,20.72
1929-07-29,20.72,20.72,20.72,20.72
1929-09-02,20.72,20.72,20.72,20.72
1929-09-30,20.72,20.72,20.72,20.72
1929-10-28,20.72,20.72,20.72,20.72
1929-12-02,20.72,20.72,20.72,20.72
1929-12-30,20.69,20.69,20.69,20.69
1930-02-03,20.69,20.69,20.69,20.69
1930-03-03,20.69,20.69,20.69,20.69
1930-03-31,20.69,20.69,20.69,20.69
1930-04-28,20.69,20.69,20.69,20.69
1930-06-02,20.69,20.69,20.69,20.69
1930-06-30,20.69,20.69,20.69,20.69
1930-07-28,20.69,20.69,20.69,20.69
1930-09-01,20.69,20.69,20.69,20.69
1930-09-29,20.69,20.69,20.69,20.69
1930-11-03,20.69,20.69,20.69,20.69
1930-12-01,20.69,20.69,20.69,20.69
1930-12-29,22.59,22.59,22.59,22.59
1931-02-02,22.59,22.59,22.59,22.59
1931-03-02,22.59,22.59,22.59,22.59
1931-03-30,22.59,22.59,22.59,22.59
1931-04-27,22.59,22.59,22.59,22.59
1931-06-01,22.59,22.59,22.59,22.59
1931-06-29,22.59,22.59,22.59,22.59
1931-08-03,22.59,22.59,22.59,22.59
1931-08-31,22.59,22.59,22.59,22.59
1931-09-28,22.59,22.59,22.59,22.59
1931-11-02,22.59,22.59,22.59,22.59
1931-11-30,22.59,22.59,22.59,22.59
1931-12-28,20.78,20.78,20.78,20.78
1932-02-01,20.78,20.78,20.78,20.78
1932-02-29,20.78,20.78,20.78,20.78
1932-03-28,20.78,20.78,20.78,20.78
1932-05-02,20.78,20.78,20.78,20.78
1932-05-30,20.78,20.78,20.78,20.78
1932-06-27,20.78,20.78,20.78,20.78
1932-08-01,20.78,20.78,20.78,20.78
1932-08-29,20.78,20.78,20.78,20.78
1932-10-03,20.78,20.78,20.78,20.78
1932-10-31,20.78,20.78,20.78,20.78
1932-11-28,20.78,20.78,20.78,20.78
1933-01-02,26.47,26.47,26.47,26.47
1933-01-30,26.47,26.47,26.47,26.47
1933-02-27,26.47,26.47,26.47,26.47
1933-04-03,26.47,26.47,26.47,26.47
1933-05-01,26.47,26.47,26.47,26.47
1933-05-29,26.47,26.47,26.47,26.47
1933-07-03,26.47,26.47,26.47,26.47
1933-07-31,26.47,26.47,26.47,26.47
1933-08-28,26.47,26.47,26.47,26.47
