time,open,high,low,close
2012-10-24,79.94,80.151,79.82,79.914
2012-10-25,79.962,80.141,79.697,80.044
2012-10-26,80.108,80.27,79.923,80.068
2012-10-29,80.003,80.325,80.003,80.232
2012-10-30,80.229,80.28,79.828,79.931
2012-10-31,79.925,80.003,79.67,79.919
2012-11-01,79.944,80.113,79.859,80.047
2012-11-02,80.024,80.61,80.019,80.593
2012-11-05,80.579,80.843,80.497,80.749
2012-11-06,80.712,80.821,80.556,80.613
2012-11-07,80.638,80.924,80.28,80.759
2012-11-08,80.837,81.001,80.724,80.793
2012-11-09,80.848,81.087,80.611,81.026
2012-11-12,81.059,81.1,80.906,81.035
2012-11-13,81.099,81.241,80.972,81.084
2012-11-14,81.054,81.153,80.902,81.056
2012-11-15,81.148,81.21,80.932,81.078
2012-11-16,81.026,81.455,80.999,81.257
2012-11-19,81.184,81.202,80.793,80.874
2012-11-20,80.998,81.062,80.796,80.957
2012-11-21,80.924,81.265,80.744,80.932
2012-11-23,80.731,80.746,80.128,80.192
2012-11-26,80.266,80.313,80.031,80.251
2012-11-27,80.114,80.473,80.022,80.402
2012-11-28,80.382,80.589,80.236,80.336
2012-11-29,80.322,80.346,80.021,80.204
2012-11-30,80.213,80.333,80.027,80.153
2012-12-03,80.226,80.226,79.799,79.882
2012-12-04,79.889,79.921,79.61,79.644
2012-12-05,79.586,79.855,79.568,79.774
2012-12-06,79.808,80.322,79.733,80.258
2012-12-07,80.253,80.658,80.228,80.408
2012-12-10,80.505,80.573,80.275,80.328
2012-12-11,80.308,80.371,80.003,80.061
2012-12-12,80.063,80.132,79.711,79.815
2012-12-13,79.858,80.04,79.792,79.928
2012-12-14,79.945,79.984,79.498,79.58
2012-12-17,79.675,79.7,79.474,79.568
2012-12-18,79.567,79.606,79.26,79.359
2012-12-19,79.356,79.456,79.008,79.269
2012-12-20,79.369,79.416,79.032,79.261
2012-12-21,79.318,79.654,79.272,79.617
2012-12-24,79.551,79.71,79.371,79.642
2012-12-26,79.674,79.767,79.421,79.621
2012-12-27,79.563,79.789,79.355,79.62
2012-12-28,79.647,79.93,79.587,79.678
2012-12-31,79.676,79.853,79.584,79.769
2013-01-02,79.759,79.933,79.283,79.845
2013-01-03,79.815,80.589,79.795,80.382
2013-01-04,80.564,80.868,80.413,80.499
2013-01-07,80.481,80.684,80.115,80.256
2013-01-08,80.145,80.447,80.107,80.345
2013-01-09,80.292,80.641,80.287,80.557
2013-01-10,80.601,80.674,79.671,79.738
2013-01-11,79.78,79.861,79.435,79.563
2013-01-14,79.543,79.65,79.345,79.488
2013-01-15,79.503,79.872,79.386,79.779
2013-01-16,79.692,79.899,79.608,79.804
2013-01-17,79.855,79.904,79.57,79.649
2013-01-18,79.696,80.187,79.646,80.036
2013-01-22,80.064,80.092,79.694,79.874
2013-01-23,79.877,80.128,79.698,79.92
2013-01-24,79.977,80.15,79.861,79.949
2013-01-25,79.997,80.086,79.677,79.748
2013-01-28,79.742,79.926,79.719,79.767
2013-01-29,79.786,79.859,79.521,79.564
2013-01-30,79.579,79.616,79.183,79.281
2013-01-31,79.246,79.369,79.133,79.207
2013-02-01,79.122,79.299,78.918,79.125
2013-02-04,79.203,79.612,79.179,79.554
2013-02-05,79.588,79.785,79.451,79.488
2013-02-06,79.533,79.864,79.492,79.721
2013-02-07,79.742,80.281,79.539,80.192
2013-02-08,80.243,80.281,79.941,80.246
2013-02-11,80.212,80.401,80.108,80.31
2013-02-12,80.352,80.508,79.916,80.106
2013-02-13,80.037,80.178,79.84,80.091
2013-02-14,80.07,80.621,80.052,80.458
2013-02-15,80.429,80.596,80.216,80.58
2013-02-19,80.644,80.679,80.425,80.468
