time,open,high,low,close
1967-01-30,119.89,119.89,119.89,119.89
1967-02-27,119.81,119.81,119.81,119.81
1967-03-27,119.79,119.79,119.79,119.79
1967-04-24,119.72,119.72,119.72,119.72
1967-05-29,119.64,119.64,119.64,119.64
1967-06-26,119.63,119.63,119.63,119.63
1967-07-31,119.7,119.7,119.7,119.7
1967-08-28,119.75,119.75,119.75,119.75
1967-09-25,119.74,119.74,119.74,119.74
1967-10-30,119.73,119.73,119.73,119.73
1967-11-27,120.27,120.27,120.27,120.27
1967-12-25,121.79,121.79,121.79,121.79
1968-01-29,122.07,122.07,122.07,122.07
1968-02-26,122.08,122.08,122.08,122.08
1968-03-25,122,122,122,122
1968-04-29,122.01,122.01,122.01,122.01
1968-05-27,122.04,122.04,122.04,122.04
1968-06-24,122.22,122.22,122.22,122.22
1968-07-29,122.18,122.18,122.18,122.18
1968-08-26,122.18,122.18,122.18,122.18
1968-09-30,121.98,121.98,121.98,121.98
1968-10-28,122.03,122.03,122.03,122.03
1968-11-25,121.95,121.95,121.95,121.95
1968-12-30,121.96,121.96,121.96,121.96
1969-01-27,122.08,122.08,122.08,122.08
1969-02-24,122.19,122.19,122.19,122.19
1969-03-24,122.29,122.29,122.29,122.29
1969-04-28,122.26,122.26,122.26,122.26
1969-05-26,122.24,122.24,122.24,122.24
1969-06-30,122.34,122.34,122.34,122.34
1969-07-28,122.36,122.36,122.36,122.36
1969-08-25,123.46,123.46,123.46,123.46
1969-09-29,123.82,123.82,123.82,123.82
1969-10-27,122.18,122.18,122.18,122.18
1969-11-24,121.77,121.77,121.77,121.77
1969-12-29,121.74,121.74,121.74,121.74
1970-01-26,121.75,121.75,121.75,121.75
1970-02-23,121.72,121.72,121.72,121.72
1970-03-30,121.6,121.6,121.6,121.6
1970-04-27,121.36,121.36,121.36,121.36
1970-05-25,121.32,121.32,121.32,121.32
1970-06-29,120.98,120.98,120.98,120.98
1970-07-27,120.9,120.9,120.9,120.9
1970-08-31,120.7,120.7,120.7,120.7
1970-09-28,120.62,120.62,120.62,120.62
1970-10-26,120.64,120.64,120.64,120.64
1970-11-30,120.55,120.55,120.55,120.55
1970-12-28,120.64,120.64,120.64,120.64
1971-01-04,120.53,120.55,120.49,120.53
1971-01-11,120.53,120.53,120.44,120.44
1971-01-18,120.41,120.41,120.31,120.31
1971-01-25,120.27,120.27,120.24,120.24
1971-02-01,120.26,120.28,120.24,120.26
1971-02-08,120.26,120.29,120.25,120.29
1971-02-15,120.22,120.22,120.18,120.18
1971-02-22,120.14,120.26,120.12,120.26
1971-03-01,120.25,120.25,120.17,120.17
1971-03-08,120.13,120.18,120.13,120.18
1971-03-15,120.19,120.19,120.16,120.18
1971-03-22,120.18,120.18,120.16,120.17
1971-03-29,120.18,120.18,120.17,120.18
1971-04-05,120.19,120.22,120.16,120.22
1971-04-12,120.22,120.31,120.22,120.23
1971-04-19,120.29,120.29,120.23,120.27
1971-04-26,120.27,120.27,120.18,120.19
1971-05-03,120.17,120.17,119.44,119.44
1971-05-10,119.12,119.56,119.12,119.34
1971-05-17,119.33,119.33,118.91,118.91
1971-05-24,118.98,119.43,118.98,119.43
1971-05-31,119.69,119.69,119.27,119.27
1971-06-07,119.23,119.25,119.19,119.24
1971-06-14,119.29,119.34,119.29,119.29
1971-06-21,119.32,119.32,119.16,119.21
1971-06-28,119.25,119.25,119.16,119.16
1971-07-05,119.21,119.21,119.17,119.17
1971-07-12,119.17,119.17,118.92,118.92
1971-07-19,118.92,118.92,118.76,118.76
1971-07-26,118.8,118.83,118.76,118.76
1971-08-02,118.79,118.81,118.54,118.58
1971-08-09,118.03,118.1,117.82,117.84
1971-08-16,117.84,117.84,117.84,117.84
1971-08-23,117.84,117.84,117.84,117.84
1971-08-30,117.84,117.84,116.35,116.38
1971-09-06,116.42,116.42,116.32,116.32
1971-09-13,116.29,116.29,115.91,115.91
1971-09-20,115.52,115.56,114.96,114.96
1971-09-27,115.03,115.06,114.81,114.81
1971-10-04,114.84,114.84,114.7,114.7
1971-10-11,114.66,114.88,114.66,114.82
1971-10-18,114.64,114.66,114.58,114.6
1971-10-25,114.53,114.65,114.53,114.65
1971-11-01,114.63,114.68,114.57,114.57
1971-11-08,114.62,114.68,114.59,114.59
1971-11-15,114.54,114.58,114.37,114.37
1971-11-22,114.31,114.31,113.93,113.93
1971-11-29,113.93,114.01,113.25,113.25
1971-12-06,113.11,113.13,112.94,112.94
1971-12-13,112.93,112.93,112.38,112.38
1971-12-20,111.16,111.29,111.16,111.29
1971-12-27,111.39,111.47,111.21,111.21
1972-01-03,111.19,111.27,111.02,111.04
1972-01-10,110.94,110.97,110.03,110.03
1972-01-17,109.86,110.04,109.86,110.04
1972-01-24,109.86,109.86,109.65,109.65
1972-01-31,109.6,109.6,109.01,109.35
1972-02-07,109.2,109.2,108.89,108.9
1972-02-14,108.94,108.94,108.56,108.6
1972-02-21,108.67,108.77,108.57,108.77
1972-02-28,108.8,108.8,108.58,108.58
1972-03-06,108.37,108.37,107.76,107.9
1972-03-13,108.12,109.19,108.12,109.19
1972-03-20,108.51,108.65,108.28,108.65
1972-03-27,108.46,108.46,108.37,108.4
1972-04-03,108.4,108.53,108.4,108.46
1972-04-10,108.27,108.66,108.27,108.54
1972-04-17,108.55,108.85,108.55,108.65
1972-04-24,108.62,108.62,108.56,108.62
1972-05-01,108.58,108.58,108.49,108.52
1972-05-08,108.52,108.52,108.27,108.37
1972-05-15,108.46,108.52,108.38,108.38
1972-05-22,108.37,108.37,108.25,108.29
1972-05-29,108.27,108.27,108.11,108.11
1972-06-05,108.13,108.16,108.05,108.05
1972-06-12,108.06,108.2,107.97,108.2
1972-06-19,108.25,108.77,108.22,108.22
1972-06-26,108.36,108.56,108.18,108.51
1972-07-03,108.61,108.61,108.51,108.58
1972-07-10,108.59,108.61,108.46,108.48
1972-07-17,108.53,108.72,108.53,108.72
1972-07-24,108.79,108.79,108.73,108.76
1972-07-31,108.76,108.82,108.76,108.76
1972-08-07,108.76,108.81,108.76,108.81
1972-08-14,108.79,108.96,108.79,108.96
1972-08-21,109.03,109.03,108.9,108.99
1972-08-28,108.96,108.98,108.96,108.98
1972-09-04,109,109,108.91,108.95
1972-09-11,108.99,109,108.96,109
1972-09-18,109.06,109.1,109.06,109.09
1972-09-25,109.12,109.39,109.12,109.39
1972-10-02,109.51,109.54,109.22,109.25
1972-10-09,109.35,109.48,109.35,109.48
1972-10-16,109.55,109.55,109.47,109.54
1972-10-23,109.77,109.93,109.77,109.9
1972-10-30,109.98,109.98,109.73,109.78
1972-11-06,109.81,109.9,109.81,109.89
1972-11-13,109.9,109.91,109.82,109.91
1972-11-20,109.93,109.93,109.89,109.9
1972-11-27,109.82,109.89,109.82,109.87
1972-12-04,109.93,110.04,109.93,110.04
1972-12-11,110.07,110.09,110.02,110.07
1972-12-18,110.2,110.2,110.01,110.06
1972-12-25,110.09,110.15,110.09,110.14
1973-01-01,110.2,110.26,110.2,110.26
1973-01-08,110.27,110.27,110.08,110.16
1973-01-15,110.25,110.31,110.23,110.31
1973-01-22,109.94,109.99,109.67,109.67
1973-01-29,109.26,109.26,108.79,109.05
1973-02-05,108.96,108.96,108.41,108.41
1973-02-12,103.18,103.18,101.62,102.33
1973-02-19,102.74,102.74,100.8,100.8
1973-02-26,101.15,101.15,98.72,98.72
1973-03-05,99.72,99.72,99.06,99.22
1973-03-12,99.22,100.37,99.22,100.37
1973-03-19,100.58,100.69,100.44,100.69
1973-03-26,100.62,101.17,100.58,101.17
1973-04-02,101.46,101.69,100.97,101.16
1973-04-09,101.23,101.23,101.03,101.16
1973-04-16,101.37,101.37,101.09,101.29
1973-04-23,101.28,101.51,101.28,101.47
1973-04-30,101.43,101.45,101.37,101.45
1973-05-07,101.49,101.49,101.11,101.11
1973-05-14,100.2,100.2,99.2,99.54
1973-05-21,98.66,99.36,98.66,99.36
1973-05-28,98.87,98.87,97.56,97.56
1973-06-04,96.2,97.63,96.2,97.32
1973-06-11,97.4,97.6,96.95,96.95
1973-06-18,96.37,96.55,96.07,96.07
1973-06-25,96.09,96.09,93.88,93.88
1973-07-02,93.42,93.42,90.54,90.54
1973-07-09,91.72,94.22,91.72,93.63
1973-07-16,93.14,93.14,91.95,92.46
1973-07-23,92.39,92.49,92.33,92.49
1973-07-30,93.01,93.24,92.87,93.24
1973-08-06,93.91,94.71,93.58,94.71
1973-08-13,94.78,96.42,94.78,96.22
1973-08-20,94.88,96.22,94.88,95.82
1973-08-27,96,96.04,95.5,95.77
1973-09-03,95.78,95.78,95.28,95.28
1973-09-10,95.47,95.78,95.47,95.71
1973-09-17,94.8,94.9,94.3,94.77
1973-09-24,94.55,94.79,94.55,94.79
1973-10-01,94.74,94.84,94.74,94.84
1973-10-08,94.74,94.74,94.22,94.35
1973-10-15,94.41,94.41,93.89,94.25
1973-10-22,93.78,94.64,93.78,94.64
1973-10-29,95.13,95.49,95.06,95.49
1973-11-05,96.13,97.97,96.13,97.97
1973-11-12,99.28,99.34,98.83,98.93
1973-11-19,98.84,100.9,98.84,100.9
1973-11-26,100.65,100.65,100.14,100.35
1973-12-03,100.59,101.16,100.59,101.02
1973-12-10,101.32,101.34,101.08,101.27
1973-12-17,101.42,101.72,101.42,101.72
1973-12-24,101.77,102.4,101.77,102.4
1973-12-31,102.39,104.35,102.39,104.35
1974-01-07,107.59,107.65,105.86,106.03
1974-01-14,106.6,107.61,106.6,107.26
1974-01-21,109.28,109.5,108.55,108.62
1974-01-28,108.33,108.33,105.9,106.21
1974-02-04,105.55,106.06,105.55,105.91
1974-02-11,105.55,105.55,104.73,104.73
1974-02-18,103.96,103.96,102.19,102.19
1974-02-25,103.21,103.69,102.8,103.69
1974-03-04,103.74,103.74,102.69,102.69
1974-03-11,102.4,102.4,101.99,102.19
1974-03-18,102.16,102.16,100.09,100.54
1974-03-25,99.48,100.12,99.06,99.51
1974-04-01,99.92,100.27,99.52,100.1
1974-04-08,100.11,100.9,100.11,100.59
1974-04-15,100.62,100.67,99.89,99.92
1974-04-22,99.64,99.64,98.78,99.02
1974-04-29,98.22,98.8,98.22,98.8
1974-05-06,98.07,98.41,97.47,97.47
1974-05-13,96.86,98.22,96.86,98.19
1974-05-20,98.91,98.91,98.23,98.7
1974-05-27,99.33,100.1,99.33,99.77
1974-06-03,99.56,99.6,99.08,99.27
1974-06-10,99.56,100.24,99.56,99.98
1974-06-17,100,100.51,100,100.51
1974-06-24,101.16,101.16,100.16,100.16
1974-07-01,100.43,100.43,99.99,100.24
1974-07-08,100.31,100.68,100.31,100.37
1974-07-15,100.15,100.2,100.07,100.2
1974-07-22,100.07,100.12,98.96,100.12
1974-07-29,100.37,100.68,100.37,100.63
1974-08-05,100.63,101.59,100.63,101.33
1974-08-12,101.53,102.32,101.53,102.32
1974-08-19,102.79,102.87,102.65,102.73
1974-08-26,102.58,103.18,102.58,103.18
1974-09-02,103.16,103.44,103.12,103.38
1974-09-09,103.37,103.37,103.1,103.1
1974-09-16,103.07,103.07,102.54,102.76
1974-09-23,102.55,102.67,102.46,102.46
1974-09-30,102.48,102.48,101.94,101.94
1974-10-07,101.92,102,101.27,101.91
1974-10-14,101.73,101.73,101.42,101.42
1974-10-21,101.65,101.65,101.16,101.16
1974-10-28,101.26,101.29,101.08,101.08
1974-11-04,100.85,100.89,100.49,100.89
1974-11-11,101.39,101.39,100.38,100.38
1974-11-18,99.14,100.69,99.14,100.01
1974-11-25,99.58,99.58,99.38,99.57
1974-12-02,99.99,99.99,99.34,99.47
1974-12-09,98.99,98.99,98.69,98.89
1974-12-16,98.55,98.55,97.93,98.29
1974-12-23,98.25,98.25,97.63,97.63
1974-12-30,97.29,97.71,97.17,97.17
1975-01-06,96.62,97.14,96.62,96.86
1975-01-13,96.98,97.39,96.82,96.82
1975-01-20,96.37,96.37,95.07,95.07
1975-01-27,94.43,95.75,94.43,95.61
