time,open,high,low,close
2025-12-17T06:00:00+08:00,98.219,98.224,98.211,98.219
2025-12-17T07:00:00+08:00,98.215,98.218,98.209,98.211
2025-12-17T08:00:00+08:00,98.208,98.214,98.193,98.201
2025-12-17T09:00:00+08:00,98.2,98.229,98.175,98.212
2025-12-17T10:00:00+08:00,98.215,98.316,98.213,98.304
2025-12-17T11:00:00+08:00,98.302,98.316,98.287,98.294
2025-12-17T12:00:00+08:00,98.297,98.395,98.29,98.386
2025-12-17T13:00:00+08:00,98.386,98.422,98.373,98.399
2025-12-17T14:00:00+08:00,98.4,98.557,98.385,98.539
2025-12-17T15:00:00+08:00,98.539,98.632,98.536,98.585
2025-12-17T16:00:00+08:00,98.586,98.639,98.53,98.549
2025-12-17T17:00:00+08:00,98.547,98.589,98.529,98.565
2025-12-17T18:00:00+08:00,98.566,98.592,98.505,98.506
2025-12-17T19:00:00+08:00,98.509,98.626,98.493,98.606
2025-12-17T20:00:00+08:00,98.606,98.61,98.48,98.484
2025-12-17T21:00:00+08:00,98.485,98.543,98.426,98.435
2025-12-17T22:00:00+08:00,98.436,98.481,98.357,98.376
2025-12-17T23:00:00+08:00,98.376,98.38,98.242,98.278
2025-12-18T00:00:00+08:00,98.281,98.36,98.253,98.347
2025-12-18T01:00:00+08:00,98.349,98.351,98.289,98.325
2025-12-18T02:00:00+08:00,98.326,98.39,98.279,98.375
2025-12-18T03:00:00+08:00,98.375,98.397,98.349,98.369
2025-12-18T04:00:00+08:00,98.369,98.409,98.351,98.4
2025-12-18T05:00:00+08:00,98.4,98.41,98.386,98.399
2025-12-18T06:00:00+08:00,98.398,98.404,98.371,98.393
2025-12-18T07:00:00+08:00,98.391,98.394,98.385,98.394
2025-12-18T08:00:00+08:00,98.378,98.391,98.352,98.354
2025-12-18T09:00:00+08:00,98.352,98.443,98.343,98.425
2025-12-18T10:00:00+08:00,98.424,98.435,98.39,98.407
2025-12-18T11:00:00+08:00,98.409,98.431,98.39,98.42
2025-12-18T12:00:00+08:00,98.422,98.426,98.39,98.391
2025-12-18T13:00:00+08:00,98.389,98.403,98.374,98.377
2025-12-18T14:00:00+08:00,98.376,98.428,98.364,98.389
2025-12-18T15:00:00+08:00,98.39,98.442,98.348,98.437
2025-12-18T16:00:00+08:00,98.438,98.485,98.418,98.457
2025-12-18T17:00:00+08:00,98.458,98.559,98.456,98.538
2025-12-18T18:00:00+08:00,98.54,98.562,98.493,98.505
2025-12-18T19:00:00+08:00,98.508,98.524,98.488,98.519
2025-12-18T20:00:00+08:00,98.519,98.548,98.464,98.526
2025-12-18T21:00:00+08:00,98.528,98.535,98.173,98.285
2025-12-18T22:00:00+08:00,98.285,98.368,98.22,98.36
2025-12-18T23:00:00+08:00,98.364,98.498,98.328,98.403
2025-12-19T00:00:00+08:00,98.403,98.43,98.28,98.406
2025-12-19T01:00:00+08:00,98.405,98.516,98.401,98.478
2025-12-19T02:00:00+08:00,98.474,98.508,98.433,98.47
2025-12-19T03:00:00+08:00,98.477,98.485,98.408,98.427
2025-12-19T04:00:00+08:00,98.431,98.471,98.408,98.457
2025-12-19T05:00:00+08:00,98.459,98.464,98.432,98.438
2025-12-19T06:00:00+08:00,98.444,98.46,98.433,98.439
2025-12-19T07:00:00+08:00,98.438,98.438,98.417,98.418
2025-12-19T08:00:00+08:00,98.462,98.463,98.431,98.437
2025-12-19T09:00:00+08:00,98.434,98.476,98.42,98.456
2025-12-19T10:00:00+08:00,98.454,98.487,98.425,98.482
2025-12-19T11:00:00+08:00,98.485,98.531,98.446,98.493
2025-12-19T12:00:00+08:00,98.493,98.551,98.474,98.536
2025-12-19T13:00:00+08:00,98.534,98.535,98.507,98.514
2025-12-19T14:00:00+08:00,98.519,98.604,98.501,98.517
2025-12-19T15:00:00+08:00,98.518,98.689,98.513,98.667
2025-12-19T16:00:00+08:00,98.672,98.68,98.603,98.641
2025-12-19T17:00:00+08:00,98.645,98.687,98.616,98.664
2025-12-19T18:00:00+08:00,98.668,98.704,98.629,98.655
2025-12-19T19:00:00+08:00,98.656,98.719,98.649,98.693
2025-12-19T20:00:00+08:00,98.698,98.72,98.649,98.689
2025-12-19T21:00:00+08:00,98.688,98.749,98.633,98.64
2025-12-19T22:00:00+08:00,98.643,98.643,98.5,98.588
2025-12-19T23:00:00+08:00,98.589,98.712,98.571,98.706
2025-12-20T00:00:00+08:00,98.708,98.711,98.62,98.62
2025-12-20T01:00:00+08:00,98.617,98.689,98.614,98.628
2025-12-20T02:00:00+08:00,98.629,98.635,98.565,98.622
2025-12-20T03:00:00+08:00,98.62,98.646,98.59,98.598
2025-12-20T04:00:00+08:00,98.6,98.738,98.579,98.714
2025-12-20T05:00:00+08:00,98.718,98.743,98.685,98.718
2025-12-22T07:00:00+08:00,98.666,98.728,98.663,98.697
2025-12-22T08:00:00+08:00,98.699,98.7,98.648,98.649
2025-12-22T09:00:00+08:00,98.65,98.656,98.61,98.619
2025-12-22T10:00:00+08:00,98.615,98.643,98.598,98.636
2025-12-22T11:00:00+08:00,98.638,98.655,98.61,98.62
2025-12-22T12:00:00+08:00,98.621,98.63,98.582,98.596
2025-12-22T13:00:00+08:00,98.599,98.626,98.582,98.62
2025-12-22T14:00:00+08:00,98.619,98.655,98.601,98.629
2025-12-22T15:00:00+08:00,98.627,98.636,98.525,98.544
2025-12-22T16:00:00+08:00,98.544,98.579,98.481,98.504
2025-12-22T17:00:00+08:00,98.506,98.556,98.495,98.519
2025-12-22T18:00:00+08:00,98.519,98.519,98.46,98.489
2025-12-22T19:00:00+08:00,98.487,98.509,98.46,98.476
2025-12-22T20:00:00+08:00,98.477,98.482,98.419,98.436
2025-12-22T21:00:00+08:00,98.44,98.44,98.323,98.358
2025-12-22T22:00:00+08:00,98.362,98.402,98.236,98.272
2025-12-22T23:00:00+08:00,98.277,98.307,98.222,98.247
2025-12-23T00:00:00+08:00,98.25,98.336,98.237,98.321
2025-12-23T01:00:00+08:00,98.321,98.321,98.197,98.246
2025-12-23T02:00:00+08:00,98.25,98.323,98.249,98.295
2025-12-23T03:00:00+08:00,98.296,98.331,98.281,98.286
2025-12-23T04:00:00+08:00,98.287,98.317,98.269,98.3
2025-12-23T05:00:00+08:00,98.304,98.306,98.258,98.26
2025-12-23T06:00:00+08:00,98.266,98.287,98.263,98.278
2025-12-23T07:00:00+08:00,98.276,98.276,98.24,98.241
2025-12-23T08:00:00+08:00,98.197,98.197,98.167,98.175
2025-12-23T09:00:00+08:00,98.173,98.197,98.108,98.131
2025-12-23T10:00:00+08:00,98.131,98.132,98.064,98.089
2025-12-23T11:00:00+08:00,98.088,98.111,98.067,98.073
2025-12-23T12:00:00+08:00,98.069,98.083,98.035,98.064
2025-12-23T13:00:00+08:00,98.064,98.074,98.027,98.068
2025-12-23T14:00:00+08:00,98.072,98.127,98.061,98.109
2025-12-23T15:00:00+08:00,98.107,98.122,98.036,98.046
2025-12-23T16:00:00+08:00,98.046,98.066,97.98,97.98
2025-12-23T17:00:00+08:00,97.979,97.992,97.912,97.921
2025-12-23T18:00:00+08:00,97.92,97.927,97.854,97.866
2025-12-23T19:00:00+08:00,97.867,97.927,97.854,97.905
2025-12-23T20:00:00+08:00,97.903,97.938,97.852,97.932
2025-12-23T21:00:00+08:00,97.933,98.056,97.897,98.056
2025-12-23T22:00:00+08:00,98.056,98.12,98.034,98.114
2025-12-23T23:00:00+08:00,98.116,98.142,98.031,98.069
2025-12-24T00:00:00+08:00,98.07,98.089,98.027,98.061
2025-12-24T01:00:00+08:00,98.063,98.102,98.039,98.087
2025-12-24T02:00:00+08:00,98.088,98.1,97.994,97.994
2025-12-24T03:00:00+08:00,97.993,97.997,97.937,97.941
2025-12-24T04:00:00+08:00,97.94,97.966,97.925,97.953
2025-12-24T05:00:00+08:00,97.953,97.959,97.879,97.903
2025-12-24T06:00:00+08:00,97.904,97.922,97.898,97.905
2025-12-24T07:00:00+08:00,97.908,97.911,97.882,97.882
2025-12-24T08:00:00+08:00,97.888,97.908,97.856,97.856
2025-12-24T09:00:00+08:00,97.856,97.886,97.768,97.774
