time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2012-10-19,14.73,16.24001,14.45,15.1,16.010999500000008,17.575759022756646,14.446239977243371,39.59501373917598,,,,,
2012-10-22,15.1,15.34,14.74,14.88,15.907999500000008,17.485738373216243,14.330260626783772,37.995180488281015,,,,,
2012-10-23,14.88,16.06,14.88,15.8,15.86099900000001,17.39211240142862,14.329885598571403,47.54082965564223,,,,47.54082965564223,
2012-10-24,15.8,16.59,14.86,15.7,15.830499000000009,17.34887016807275,14.312127831927267,46.699266075969575,,,,,
2012-10-25,15.7,15.7,14.99,15.36,15.74749900000001,17.17549981933953,14.319498180660487,43.856643709864635,,,,,
2012-10-26,15.36,15.36,14.92,14.92,15.655499500000008,17.04735223000336,14.263646769996656,40.42707231864117,,,,,
2012-10-31,14.92,15.22,14.61,14.99,15.560000000000008,16.855993827145337,14.264006172854678,41.214668270539455,,,,,
2012-11-01,14.99,15.18,14.28,14.49,15.467500000000006,16.79138632442482,14.143613675575192,37.410142409024516,,37.410142409024516,37.410142409024516,,
2012-11-02,14.49,16.2,14.04,16.2,15.447999999999999,16.71546360894503,14.180536391054968,53.29062176756575,,,,,
2012-11-05,16.2,17.48,15.73,17.48,15.458499999999997,16.78812062258386,14.128879377416132,61.22192316275132,,,,,
2012-11-06,17.48,18.39,16.42,18,15.564499999999999,17.290553011932122,13.838446988067876,63.90346133575878,,,,63.90346133575878,
2012-11-07,18,18,16,16.69,15.592500000000001,17.37168942218073,13.813310577819271,53.80856697858323,,,,,
2012-11-08,16.69,17.16,16.5,17.02,15.657499999999999,17.542417770089653,13.772582229910345,55.706767547466356,,,,,
2012-11-09,17.02,17.25999,15.99,16.07001,15.684500500000002,17.576795546238458,13.792205453761547,49.41170203049991,,,,,
2012-11-12,16.07001,16.35001,15.65,15.66,15.702000500000002,17.586576174261612,13.817424825738392,46.94594392088723,,,,,
2012-11-13,15.66,16.00999,14.35,14.54,15.643000500000003,17.594329715693352,13.691671284306652,40.936435628231955,,,,,
2012-11-14,14.54,14.94,13.76,14.94,15.6165005,17.590768165241645,13.642232834758357,43.70793445974668,,,,,
2012-11-15,14.94,14.94,13.1,14.26,15.5735005,17.62509816670245,13.521902833297547,40.2501629234108,,,,,
2012-11-16,14.26,14.26,12.97,13.28,15.5055005,17.756789299336653,13.254211700663348,35.84857162791741,,35.84857162791741,,,
2012-11-19,13.28,13.61,12.91,13.61,15.4495005,17.827327550485137,13.071673449514861,38.295555278104814,,,,,
2012-11-20,13.61,13.65,13.12,13.52,15.3705005,17.890274656153423,12.850726343846578,37.871279761374105,,,,,
2012-11-21,13.52,13.52,12.87,13.22,15.287500499999998,17.97050592862272,12.604495071377274,36.42272325023695,,,,,
2012-11-23,13.22,15.48,8.43,15.48,15.271500499999998,17.94589280368676,12.597108196313236,51.47925090933866,,,,51.47925090933866,
2012-11-26,13.86,13.86,13.11,13.18,15.145500499999997,17.960997382970916,12.330003617029078,40.871029756805406,,,,,
2012-11-27,13.18,14.23,13.18,13.68,15.061500499999998,17.94579157997425,12.177209420025745,43.59232341528313,,,,,
2012-11-28,13.68,14.84,13.46,13.7,15.000500499999998,17.94515383749475,12.055847162505245,43.70393205906727,,,,,
2012-11-29,13.7,13.72,12.61,12.67,14.884500499999998,17.99952598015566,11.769475019844336,39.38225678650976,,,,,
2012-11-30,12.67,13.54,12.53,13.24,14.822000499999998,18.01535437829456,11.628646621705435,42.75579373500341,,,,,
2012-12-03,13.24,13.4,13.04,13.4,14.682000499999997,17.866925860509898,11.497075139490095,43.702906074407394,,,,,
2012-12-04,13.4,14.31,13.4,13.95,14.5055005,17.431341448858774,11.579659551141226,46.95202887370033,,,,,
2012-12-05,13.95,14.09,13.52,14,14.305500499999999,16.756897256549006,11.854103743450992,47.250082173455546,,,,,
2012-12-06,14,14.21,13.24,14.07,14.174500499999997,16.368726236340507,11.980274763659486,47.69317653279872,,,,,
2012-12-07,13.9,13.9,13.38,13.87,14.017000499999998,15.78181556453763,12.252185435462366,46.49156189632285,,,,,
2012-12-10,14,14.27,14,14.2,13.923499999999995,15.42127535031133,12.42572464968866,48.78443265824546,,,,48.78443265824546,
2012-12-11,14.2,14.39,14.1,14.16,13.848499999999996,15.124795812106296,12.572204187893696,48.513072043954665,,,,,
2012-12-12,14.16,14.65,13.28,13.34,13.788499999999994,15.041740200440657,12.53525979955933,43.207162457327044,,,,,
2012-12-13,13.34,13.74,13.01,13.01,13.691999999999997,14.870721341115095,12.513278658884898,41.25179367959431,,,,,
2012-12-14,13.01,13.01,12.49,12.6,13.608999999999995,14.848272367157618,12.369727632842372,38.89653585505488,,,,,
2012-12-17,12.6,12.63,11.91,11.97,13.543499999999995,14.969771713244176,12.117228286755813,35.538847854978016,,35.538847854978016,,,
2012-12-18,11.97,14.12,11.56,13.69,13.547499999999994,14.974943519022888,12.1200564809771,48.587621343094185,,,,,
2012-12-19,13.69,13.84,12.56,13.73,13.557999999999996,14.987567766844318,12.128432233155674,48.84695527541215,,,,,
2012-12-20,13.92,15.4,13.92,14.53,13.623499999999996,15.104246771058534,12.142753228941459,53.85981610909608,,,,,
2012-12-21,14.53,14.53,13.31,13.82,13.540499999999998,14.758473316620702,12.322526683379294,49.24718605345265,,,,,
2012-12-24,13.82,13.9,13.21,13.21,13.541999999999996,14.758266418183286,12.325733581816706,45.631392316545565,,,,,
2012-12-26,13.35,14.03,13.35,13.56,13.535999999999996,14.750667032565072,12.32133296743492,47.9909159200586,,,,,
2012-12-27,13.56,14.86,13.49,14.83,13.592499999999996,14.931213935088607,12.253786064911385,55.53215275099206,,,,,
2012-12-28,14.83,15.31,14.49,15.3,13.723999999999995,15.185470492346854,12.262529507653136,57.96149899027423,,,,57.96149899027423,
2012-12-31,15.3,15.58,14.28,14.38,13.780999999999997,15.251413547271753,12.310586452728241,51.97574718240157,,,,,
2013-01-02,14.35,14.35,13.28,13.43,13.782499999999995,15.251416267184926,12.313583732815065,46.6216395170407,,,,,
2013-01-03,13.43,13.76,12.51,13.72,13.770999999999997,15.238090999222704,12.30390900077729,48.3700645541064,,,,,
2013-01-04,13.72,14.26,13.61,13.78,13.76,15.223352315746311,12.296647684253688,48.74414345880726,,,,,
2013-01-07,14.23,14.64,14.23,14.51,13.782,15.276236929004241,12.287763070995759,53.18814106733667,,,,,
