time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2012-11-27,15.3,15.93,15.01,15.92,17.0355005,19.64479884593499,14.426202154065013,46.64636818352632,,,,,
2012-11-28,16.42999,16.98,15.47,15.51,16.9205005,19.585270343363412,14.255730656636585,44.58251710795011,,,,,
2012-11-29,15.21,15.51,15.02,15.06,16.7435,19.40879990809289,14.07820009190711,42.366871694728005,,,,,
2012-11-30,15.26,16.17,14.89,15.87,16.702500000000004,19.3949203980953,14.010079601904705,47.43119014183588,,,,,
2012-12-03,15.81,16.69,15.76,16.64,16.655,19.316456856700803,13.9935431432992,51.769870270451555,,,,,
2012-12-04,16.66,17.37,16.38,17.12,16.59,19.136890771132542,14.04310922886746,54.301867002122165,,,,54.301867002122165,
2012-12-05,16.95,17.53,16.27,16.46001,16.5340005,19.040286258667397,14.027714741332606,50.385100841265654,,,,,
2012-12-06,16.59,16.85001,16.31,16.58,16.409000499999998,18.627776920484802,14.190224079515195,51.076019699039136,,,,,
2012-12-07,16.12,16.64999,15.73,15.9,16.279500000000002,18.289868991026196,14.269131008973808,47.07514336696362,,,,,
2012-12-10,16.47,16.47,15.96,16.05,16.1515,17.854537134087217,14.44846286591278,48.041990068583075,,,,,
2012-12-11,15.94,16.00999,15.42,15.57,16.0960005,17.798875367997965,14.393125632002034,45.19662129243085,,45.19662129243085,,,
2012-12-12,15.6,16.09,15.41,15.95,16.061001,17.745567802485375,14.376434197514627,47.830878277383356,,,,,
2012-12-13,15.87,16.67,15.71,16.56,15.993001000000001,17.46876990333006,14.517232096669941,51.83334912904765,,,,,
2012-12-14,16.67999,17.14999,16.61,17,15.943500500000003,17.197810296668585,14.689190703331422,54.54246781735028,,,,,
2012-12-17,17.2,17.2,16.21001,16.34,15.940000500000002,17.18946521739653,14.690535782603472,49.99965797359442,,,,,
2012-12-18,16.39,16.42999,15.46,15.57,15.9565005,17.176931986818847,14.736069013181153,45.26307349383953,,,,,
2012-12-19,16.05,17.46001,16.03999,17.36,16.0705005,17.365792188392568,14.775208811607435,55.75605850788914,,,,,
2012-12-20,17.25999,17.96001,17.11,17.67,16.1885005,17.609096179994612,14.76790482000539,57.28330669221083,,,,,
2012-12-21,19.85001,19.92999,17.75999,17.84,16.3235005,17.830421714270635,14.81657928572937,58.13672300559968,,,,,
2012-12-24,18.46001,18.66,17.84,17.84,16.440500500000002,18.034357167965783,14.84664383203422,58.13672300559968,,,,,
2012-12-26,18.71001,19.63,18.61,19.48,16.618500500000003,18.669639297355943,14.567361702644064,65.78471995480797,,,,,
2012-12-27,19.39,20.89999,19.11,19.47,16.8165005,19.146910243804534,14.486090756195464,65.70589573872766,,,,,
2012-12-28,20.32001,23.23,19.94,22.72,17.1995005,20.545730623888527,13.853270376111471,75.83859017735348,,,,75.83859017735348,
2012-12-31,22.14,22.72,17.88,18.02,17.3070005,20.613382300702856,14.000618699297146,51.93870630663261,,,,,
2013-01-02,15.24,15.93,14.6,14.68,17.209000500000002,20.699701433053264,13.71829956694674,41.846278095492714,,,,,
2013-01-03,14.77,14.92,14.24,14.56,17.0810005,20.758134372463616,13.40386662753638,41.53400982007078,,,,,
2013-01-04,14.23,14.31,13.64,13.83,16.9495,20.885083692414625,13.013916307585378,39.598157157037754,,,,,
2013-01-07,14.53,14.53,13.71,13.79,16.81,20.978951906654764,12.641048093345235,39.48954651024315,,,,,
2013-01-08,13.88,14.29,13.62,13.62,16.695999999999998,21.077526674573647,12.314473325426349,38.999953590410435,,,,,
2013-01-09,13.32,13.93,13.22,13.81,16.583999999999996,21.137013946826936,12.030986053173056,39.89684449317449,,,,,
2013-01-10,13.33,13.88,13.33,13.49,16.479999999999997,21.21239896881069,11.747601031189305,38.86051219221857,,,,,
2013-01-11,13.55,13.79,13.22,13.36,16.350499999999997,21.27180257147437,11.429197428525622,38.42385613238191,,,,,
2013-01-14,13.66,13.85,13.41,13.52,16.1985,21.27002551013993,11.126974489860066,39.32747308057584,,,,,
2013-01-15,13.97,13.99,13.33,13.55,16.026,21.210185181877677,10.841814818122323,39.506725459848724,,,,,
2013-01-16,13.7,13.76,13.2,13.42,15.879999999999999,21.183681740074544,10.576318259925454,38.96944158151944,,,,,
2013-01-17,13.45,13.7,13.16,13.57,15.779999999999998,21.177873655431394,10.3821263445686,39.983667760090846,,,,39.983667760090846,
2013-01-18,13.52,13.53,12.29,12.46,15.535,21.06692010065221,10.003079899347789,35.3076829315042,,,,,
2013-01-22,13.28,13.32,12.43,12.43,15.273,20.871582320552236,9.674417679447762,35.18790774183019,,35.18790774183019,,,
2013-01-23,12.67,12.67,12.3,12.46,15.004,20.600371681723807,9.407628318276192,35.42382226008037,,,,,
