Trade ID,Amount,Emotion,Entry_Delay,Error Tag,Is_Addon,Net R,Remark,Result,Risk,Session,Setup Grade,Status,Strategy,Trade Date,Trade Leave Time,Win,hold mins
🚀 S1,0.2,,,,,0.97,,486,500,London,A(有訊號),完成,🚀 S1-Trend (順勢),2026年1月6日 20:30 (GMT+8),2026年1月11日 23:00 (GMT+8),1,122h 30m
🚀 S1,0.2,,,Late Entry,,-0.99,"前天凌晨1點訊號, 下跌之後回到進場點, 早盤進場被SL",-497,500,Asia,A(有訊號延遲進場),Need Review,🚀 S1-Trend (順勢),2026年1月8日 7:24 (GMT+8),2026年1月8日 10:30 (GMT+8),,3h 06m
🚀 S1,0.2,,,,,0.83,,414,500,NY,A(有訊號),完成,🚀 S1-Trend (順勢),2026年1月8日 23:00 (GMT+8),2026年1月9日 2:28 (GMT+8),1,3h 28m
🚀 S1,0.05,,,,,0.74,"非農公布前, 輕倉多單",184,250,NY,C (違紀),完成,🚀 S1-Trend (順勢),2026年1月9日 21:21 (GMT+8),2026年1月10日 0:07 (GMT+8),1,2h 46m
🚀 S1,0.2,,,,,1.22,"非農, 前值5.6預期6公布5, 利多黃金",608,500,NY,C (違紀),完成,🚀 S1-Trend (順勢),2026年1月9日 21:32 (GMT+8),2026年1月10日 12:06 (GMT+8),1,14h 34m
🛡️ S2,0.1,,,,,-0.08,"訊號在前1天未進場, 30分中軌上, 相同價格進場",-81,1000,Asia,A(有訊號延遲進場),完成,🛡️ S2-Reversal (逆勢),2026年1月7日 13:43 (GMT+8),2026年1月7日 22:30 (GMT+8),,8h 47m
🛡️ S2,0.1,,,提早出場,,0.44,"訊號在前2天未進場, 30分中軌上, 相同價格進場",444,1000,London,A(有訊號延遲進場),完成,🛡️ S2-Reversal (逆勢),2026年1月8日 0:05 (GMT+8),2026年1月10日 1:53 (GMT+8),1,49h 48m
🚀 S1,0.2,,,,,1.25,,623,500,London,A(有訊號),Need Review,🚀 S1-Trend (順勢),2026年1月13日 13:00 (GMT+8),2026年1月13日 22:52 (GMT+8),1,9h 52m
🛡️ S2,0.2,,,提早出場,,0.76,,760,1000,London,A(有訊號),完成,🛡️ S2-Reversal (逆勢),2026年1月13日 15:17 (GMT+8),2026年1月13日 23:02 (GMT+8),1,7h 45m
🚀 S1,0.1,,,,,0.4,,201,500,NY,,未開始,🚀 S1-Trend (順勢),2026年1月16日 23:29 (GMT+8),2026年1月17日 0:48 (GMT+8),1,1h 19m
🛡️ S2,0.2,,,,,0.59,,590,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年1月16日 23:31 (GMT+8),2026年1月17日 0:51 (GMT+8),1,1h 20m
🛡️ S2,0.2,,,,,0.99,,992,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年1月19日 22:37 (GMT+8),2026年1月20日 14:55 (GMT+8),1,16h 18m
🚀 S1,0.2,,,,,0.87,,435,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年1月20日 11:18 (GMT+8),2026年1月20日 13:05 (GMT+8),1,1h 47m
🛡️ S2,0.2,,,,,-0.99,中軌以上的S2，需優化，週三交易日誌還沒出來不做,-993,1000,NY,,Need Review,🛡️ S2-Reversal (逆勢),2026年1月21日 20:49 (GMT+8),2026年1月22日 1:31 (GMT+8),,4h 42m
🛡️ S2,0.2,,,,,0.95,,952,1000,NY,,未開始,🛡️ S2-Reversal (逆勢),2026年1月22日 22:04 (GMT+8),2026年1月22日 23:54 (GMT+8),1,1h 50m
🚀 S1,0.2,,,,,1.44,,718,500,NY,,未開始,🚀 S1-Trend (順勢),2026年1月22日 10:00 (GMT+8),2026年1月22日 23:41 (GMT+8),1,13h 41m
🚀 S1,0.2,,,,,0.79,,397,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年1月26日 7:02 (GMT+8),2026年1月26日 8:58 (GMT+8),1,1h 56m
🚀 S1,0.2,,,,,0.82,,411,500,NY,,未開始,🚀 S1-Trend (順勢),2026年1月26日 22:19 (GMT+8),2026年1月26日 23:01 (GMT+8),1,42m
🚀 S1,0.2,,,,,1.02,,510,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年1月27日 10:35 (GMT+8),2026年1月27日 18:17 (GMT+8),1,7h 42m
🛡️ S2,0.2,,,,,0.39,,393,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年1月26日 8:36 (GMT+8),2026年1月27日 0:38 (GMT+8),1,16h 02m
🛡️ S2,0.4,,,,,0.82,,824,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年1月27日 13:43 (GMT+8),2026年1月27日 18:08 (GMT+8),1,4h 25m
🛡️ S2,0.2,,,,,0.38,,380,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年1月29日 8:34 (GMT+8),2026年1月29日 21:00 (GMT+8),1,12h 26m
🚀 S1,0.1,,,,,1.22,"大跌的30分鐘收線, 抓小反彈降低手數",608,500,NY,,未開始,🚀 S1-Trend (順勢),2026年1月29日 23:36 (GMT+8),2026年1月29日 23:37 (GMT+8),1,1m
🚀 S1,0.1,,,,,1.02,"大跌的30分鐘收線, 抓小反彈降低手數",509,500,NY,,未開始,🚀 S1-Trend (順勢),2026年1月29日 23:44 (GMT+8),2026年1月29日 23:47 (GMT+8),1,3m
🚀 S1,0.2,,,,,1,,502,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年1月30日 7:32 (GMT+8),2026年1月30日 8:14 (GMT+8),1,42m
🚀 S1,0.2,,,,,-2.06,,-1030,500,London,,未開始,🚀 S1-Trend (順勢),2026年2月2日 18:01 (GMT+8),2026年2月2日 18:26 (GMT+8),,25m
🚀 S1,0.2,,,,,2.74,,1371,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月3日 7:47 (GMT+8),2026年2月3日 8:48 (GMT+8),1,1h 01m
🚀 S1,0.2,,,,,0.03,,13,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月4日 10:07 (GMT+8),2026年2月4日 14:07 (GMT+8),1,4h 00m
🚀 S1,0.2,,,,,3.8,,1901,500,NY,,未開始,🚀 S1-Trend (順勢),2026年2月4日 23:36 (GMT+8),2026年2月5日 7:02 (GMT+8),1,7h 26m
🚀 S1,0.2,,,,,-2.57,,-1283,500,Asia,,未開始,🚀 S1-Trend (順勢),2026年2月5日 7:28 (GMT+8),2026年2月5日 9:15 (GMT+8),,1h 47m
🛡️ S2,0.2,,,,,1.2,,1196,1000,London,,未開始,🛡️ S2-Reversal (逆勢),2026年2月2日 15:43 (GMT+8),2026年2月2日 16:10 (GMT+8),1,27m
🛡️ S2,0.2,,,,,1.29,,1286,1000,Asia,,未開始,🛡️ S2-Reversal (逆勢),2026年2月3日 8:00 (GMT+8),2026年2月3日 9:15 (GMT+8),1,1h 15m
